58,60.0,0.18
59,52.0,0.18
59,60.0,0.18
59,52.0,0.18
59,40.0,0.18
59,52.0,0.18
59,48.0,0.18
60,16.0,0.17
60,46.0,0.17
61,80.0,0.16
61,74.0,0.16
61,68.0,0.16
61,78.0,0.16
61,64.0,0.16
62,66.0,8.27
62,70.0,8.27
62,68.0,8.27
62,60.0,8.27
62,58.0,8.27
63,46.0,0.17
63,20.0,0.17
63,30.0,0.17
64,76.0,0.19
64,56.0,0.19
64,66.0,0.19
65,70.0,0.17
65,58.0,0.17
65,66.0,0.17
65,62.0,0.17
65,64.0,0.17
66,62.0,0.18
66,56.0,0.18
66,54.0,0.18
67,56.0,0.21
67,42.0,0.21
68,78.0,0.2
68,64.0,0.2
68,70.0,0.2
68,70.0,0.2
69,58.0,0.19
69,64.0,0.19
69,64.0,0.19
69,66.0,0.19
70,64.0,0.18
70,80.0,0.18
70,68.0,0.18
71,48.0,0.24
71,48.0,0.24
71,62.0,0.24
71,58.0,0.24
72,74.0,0.21
72,78.0,0.21
73,82.0,0.18
73,74.0,0.18
73,76.0,0.18
74,76.0,0.17
74,88.0,0.17
74,82.0,0.17
74,84.0,0.17
75,68.0,0.17
75,78.0,0.17
76,74.0,0.17
76,62.0,0.17
76,66.0,0.17
76,64.0,0.17
77,82.0,0.17
77,86.0,0.17
77,82.0,0.17
77,88.0,0.17
78,76.0,0.16
78,64.0,0.16
78,76.0,0.16
79,58.0,0.16
79,44.0,0.16
79,54.0,0.16
79,64.0,0.16
80,68.0,0.16
80,74.0,0.16
80,70.0,0.16
80,76.0,0.16
81,40.0,0.17
81,42.0,0.17
82,34.0,8.65
82,48.0,8.65
83,72.0,0.17
83,68.0,0.17
83,68.0,0.17
83,78.0,0.17
84,54.0,0.19
84,56.0,0.19
84,52.0,0.19
85,90.0,0.19
85,90.0,0.19
85,92.0,0.19
85,88.0,0.19
85,90.0,0.19
86,56.0,0.2
86,44.0,0.2
86,54.0,0.2
86,62.0,0.2
87,50.0,0.19
87,52.0,0.19
87,62.0,0.19
88,72.0,0.18
88,66.0,0.18
88,60.0,0.18
89,76.0,0.19
89,66.0,0.19
89,74.0,0.19
90,68.0,0.19
90,66.0,0.19
91,56.0,0.19
91,74.0,0.19
92,74.0,0.17
92,80.0,0.17
92,78.0,0.17
92,78.0,0.17
92,74.0,0.17
92,80.0,0.17
93,62.0,0.17
93,44.0,0.17
93,46.0,0.17
93,66.0,0.17
93,50.0,0.17
94,66.0,0.17
94,70.0,0.17
94,64.0,0.17
94,56.0,0.17
95,58.0,0.18
95,60.0,0.18
95,54.0,0.18
96,86.0,0.17
96,72.0,0.17
96,72.0,0.17
96,74.0,0.17
97,80.0,0.17
97,86.0,0.17
97,80.0,0.17
97,78.0,0.17
98,70.0,0.16
98,66.0,0.16
98,66.0,0.16
98,70.0,0.16
99,86.0,0.17
99,76.0,0.17
99,86.0,0.17
99,70.0,0.17
99,86.0,0.17
100,72.0,0.19
100,68.0,0.19
100,76.0,0.19
100,78.0,0.19
101,42.0,0.17
101,44.0,0.17
101,44.0,0.17
102,58.0,0.17
102,56.0,0.17
102,60.0,0.17
102,62.0,0.17
102,68.0,0.17
103,78.0,8.66
103,74.0,8.66
103,78.0,8.66
103,74.0,8.66
104,68.0,0.18
104,64.0,0.18
104,58.0,0.18
104,70.0,0.18
104,62.0,0.18
105,56.0,0.18
105,60.0,0.18
