episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
179,56.0,0.04,96.0,33.55,2.0,0.14
180,98.0,0.01,99.0,9.3,8.0,0.14
181,10.0,0.37,63.0,21.06,1.0,0.12
182,14.0,0.29,71.0,22.87,1.04,0.11
183,100.0,0.0,100.0,24.93,8.0,0.12
184,96.0,0.0,100.0,26.34,15.58,0.12
185,100.0,0.0,100.0,34.66,8.0,0.12
186,100.0,0.0,100.0,33.99,8.0,0.12
187,100.0,0.0,100.0,43.17,8.0,0.13
188,100.0,0.0,100.0,13.77,8.0,0.12
189,10.0,0.35,65.0,30.63,1.0,0.11
190,100.0,0.0,100.0,47.95,8.0,0.14
191,100.0,0.0,100.0,36.48,16.0,0.12
192,100.0,0.0,100.0,33.41,8.0,0.12
193,100.0,0.0,100.0,28.98,15.97,0.12
194,0.0,0.39,61.0,26.59,1.0,0.12
195,100.0,0.0,100.0,26.79,8.0,0.12
196,100.0,0.0,100.0,16.76,16.0,0.12
197,100.0,0.0,100.0,14.39,4.0,0.12
198,100.0,0.0,100.0,19.3,8.0,0.12
199,32.0,0.23,77.0,49.37,1.0,0.11
200,76.0,0.05,95.0,6.86,2.0,0.12
201,100.0,0.0,100.0,23.61,16.0,0.12
202,100.0,0.0,100.0,10.62,16.0,0.13
203,32.0,0.24,76.0,48.8,1.0,0.12
204,64.0,0.02,98.0,9.61,2.0,0.12
205,66.0,0.01,99.0,13.88,2.0,0.12
206,84.0,0.03,97.0,51.15,2.0,0.13
207,26.0,0.27,73.0,28.95,1.04,0.11
208,66.0,0.03,97.0,40.47,2.0,0.12
209,100.0,0.0,100.0,41.01,8.0,0.13
210,100.0,0.0,100.0,27.78,16.0,0.12
211,18.0,0.27,73.0,87.84,1.0,0.12
212,82.0,0.0,100.0,43.09,4.0,0.12
213,100.0,0.0,100.0,18.48,8.0,0.12
214,18.0,0.3,70.0,5.4,1.0,0.12
215,100.0,0.0,100.0,17.99,8.0,0.12
216,56.0,0.03,97.0,21.05,2.0,0.12
217,100.0,0.0,100.0,33.87,8.0,0.12
218,100.0,0.0,100.0,25.13,8.0,0.12
219,100.0,0.0,100.0,59.95,8.0,0.12
220,100.0,0.0,100.0,19.18,16.0,0.12
221,100.0,0.0,100.0,13.72,16.0,0.12
222,14.0,0.27,73.0,20.93,1.0,0.11
223,76.0,0.03,97.0,15.51,2.0,0.12
224,82.0,0.0,100.0,32.36,2.0,0.12
225,100.0,0.0,100.0,12.8,4.0,0.12
226,8.0,0.32,68.0,39.42,1.0,0.11
227,12.0,0.3,70.0,16.06,1.0,0.11
228,100.0,0.0,100.0,61.14,8.0,0.12
229,62.0,0.03,97.0,13.91,2.0,0.12
230,100.0,0.0,100.0,14.04,4.0,0.12
231,78.0,0.01,99.0,26.01,2.0,0.12
232,82.0,0.0,100.0,27.06,4.0,0.12
233,56.0,0.0,100.0,17.09,2.0,0.12
234,100.0,0.0,100.0,21.65,16.0,0.12
235,66.0,0.04,96.0,17.76,2.0,0.12
236,100.0,0.0,100.0,12.46,8.0,0.12
237,58.0,0.04,96.0,50.77,2.0,0.12
238,100.0,0.0,100.0,29.6,8.0,0.12
239,100.0,0.0,100.0,17.71,16.0,0.12
240,100.0,0.0,100.0,40.71,8.0,0.12
241,100.0,0.0,100.0,38.4,4.0,0.12
242,100.0,0.0,100.0,25.06,8.0,0.12
243,100.0,0.0,100.0,24.87,4.0,0.12
244,100.0,0.0,100.0,13.31,8.0,0.12
245,100.0,0.0,100.0,19.17,16.0,0.12
246,66.0,0.04,96.0,20.3,2.0,0.12
247,100.0,0.0,100.0,27.36,16.0,0.12
248,100.0,0.0,100.0,28.71,8.0,0.13
249,100.0,0.0,100.0,27.29,8.0,0.12
250,26.0,0.33,67.0,32.7,1.0,0.11
251,72.0,0.02,98.0,21.43,2.0,0.12
252,14.0,0.31,69.0,47.59,1.0,0.11
253,100.0,0.0,100.0,18.93,16.0,0.12
254,66.0,0.03,97.0,10.8,2.0,0.12
255,100.0,0.0,100.0,25.03,8.0,0.12
256,76.0,0.0,100.0,18.23,4.0,0.13
257,100.0,0.0,100.0,15.55,16.0,0.12
258,88.0,0.0,100.0,26.09,4.0,0.13
259,100.0,0.0,100.0,22.57,8.0,0.12
260,100.0,0.0,100.0,16.66,8.0,0.12
261,100.0,0.0,100.0,6.86,16.0,0.12
262,-10.0,0.37,63.0,55.26,1.0,0.11
263,66.0,0.02,98.0,4.44,2.0,0.13
264,100.0,0.0,100.0,29.3,8.0,0.12
265,100.0,0.0,100.0,18.02,4.0,0.13
266,100.0,0.0,100.0,14.41,16.0,0.13
267,100.0,0.0,100.0,9.87,16.0,0.12
268,100.0,0.0,100.0,27.06,16.0,0.12
269,100.0,0.0,100.0,44.89,16.0,0.12
270,100.0,0.0,100.0,17.59,4.0,0.12
271,52.0,0.0,100.0,23.23,2.0,0.13
272,100.0,0.0,100.0,21.65,8.0,0.12
273,100.0,0.0,100.0,11.1,8.0,0.12
274,16.0,0.3,70.0,91.95,1.0,0.11
275,-2.0,0.45,55.0,43.41,1.0,0.11
276,100.0,0.0,100.0,49.0,8.0,0.12
277,14.0,0.32,68.0,22.71,1.0,0.11
278,100.0,0.0,100.0,31.91,8.0,0.13
279,100.0,0.0,100.0,28.77,8.0,0.12
280,100.0,0.0,100.0,7.62,8.0,0.12
281,100.0,0.0,100.0,26.12,16.0,0.12
282,100.0,0.0,100.0,4.31,8.0,0.12
283,0.0,0.3,70.0,26.11,1.0,0.11
284,24.0,0.29,71.0,45.25,1.0,0.11
285,56.0,0.04,96.0,16.46,2.0,0.12
286,84.0,0.0,100.0,53.72,4.0,0.12
287,6.0,0.34,66.0,35.11,1.0,0.11
288,100.0,0.0,100.0,22.27,16.0,0.12
289,100.0,0.0,100.0,32.92,16.0,0.13
290,24.0,0.31,69.0,62.05,1.0,0.12
291,8.0,0.32,68.0,28.56,1.0,0.11
292,20.0,0.3,70.0,43.77,1.04,0.11
293,100.0,0.0,100.0,45.18,16.0,0.13
294,0.0,0.4,60.0,39.22,1.0,0.1
295,100.0,0.0,100.0,23.55,8.0,0.13
296,100.0,0.0,100.0,14.6,8.0,0.13
297,76.0,0.0,100.0,32.55,2.0,0.12
298,100.0,0.0,100.0,19.77,8.0,0.12
299,100.0,0.0,100.0,19.53,4.0,0.12
300,100.0,0.0,100.0,12.98,8.0,0.12
301,100.0,0.0,100.0,28.08,4.0,0.12
302,100.0,0.0,100.0,11.36,8.0,0.13
