episode,reward,execution_time
228,46.0,0.11
228,78.0,0.11
229,86.0,0.11
229,72.0,0.11
230,94.0,0.12
231,72.0,0.11
231,94.0,0.11
232,64.0,0.12
232,84.0,0.12
233,96.0,0.11
233,74.0,0.11
234,82.0,0.13
234,88.0,0.13
234,82.0,0.13
235,80.0,0.12
235,84.0,0.12
236,80.0,0.12
236,90.0,0.12
237,88.0,0.11
237,92.0,0.11
237,96.0,0.11
237,94.0,0.11
238,96.0,0.11
238,88.0,0.11
239,84.0,0.12
240,84.0,0.1
240,76.0,0.1

241,88.0,0.13
242,80.0,0.12
242,82.0,0.12
242,62.0,0.12
243,92.0,0.12
243,82.0,0.12
244,80.0,0.13
244,82.0,0.13
245,96.0,0.11
245,84.0,0.11
246,66.0,4.32
247,44.0,0.12
248,80.0,0.11
249,72.0,0.11
249,88.0,0.11
250,72.0,0.11
250,92.0,0.11
251,88.0,0.11
251,90.0,0.11
252,70.0,0.12
252,58.0,0.12
253,96.0,0.12
253,94.0,0.12
254,86.0,0.13
254,80.0,0.13
254,88.0,0.13
255,94.0,0.13
255,94.0,0.13
255,90.0,0.13
256,90.0,0.13
256,68.0,0.13
256,74.0,0.13
257,52.0,0.19
257,80.0,0.19
257,82.0,0.19
258,92.0,0.12
258,88.0,0.12
259,44.0,0.12
259,82.0,0.12
260,38.0,0.12
260,44.0,0.12
261,50.0,0.13
261,84.0,0.13
261,50.0,0.13
262,80.0,0.13
263,76.0,0.11
263,62.0,0.11
264,90.0,0.13
265,94.0,0.12
265,88.0,0.12
265,76.0,0.12
266,84.0,0.13
266,34.0,0.13
