episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
233,0.0,0.4,60.0,57.08,0.11
234,64.0,0.03,97.0,28.86,0.13
235,52.0,0.15,85.0,44.55,0.12
236,50.0,0.14,86.0,32.06,0.11
237,90.0,0.02,98.0,15.41,0.13
238,60.0,0.15,85.0,24.42,0.12
239,26.0,0.31,69.0,48.62,0.12
240,78.0,0.03,97.0,38.22,0.13
241,40.0,0.22,78.0,42.46,0.13
242,74.0,0.0,100.0,45.99,0.13
243,2.0,0.33,67.0,27.04,0.12
244,6.0,0.3,70.0,23.85,0.12
245,60.0,0.16,84.0,27.46,0.12
246,38.0,0.21,79.0,62.3,0.12
247,92.0,0.01,99.0,19.17,0.13
248,76.0,0.02,98.0,33.15,0.13
249,96.0,0.01,99.0,23.61,0.13
250,80.0,0.0,100.0,17.0,0.13
251,6.0,0.31,69.0,46.02,0.11
252,8.0,0.37,63.0,20.92,0.12
253,66.0,0.01,99.0,27.47,0.13
254,16.0,0.36,64.0,26.32,0.12
255,80.0,0.01,99.0,31.07,0.13
256,8.0,0.36,64.0,36.77,0.11
257,52.0,0.04,96.0,9.37,0.14
258,60.0,0.12,88.0,38.9,0.13
259,72.0,0.02,98.0,28.19,0.14
260,72.0,0.03,97.0,31.79,0.14
261,36.0,0.22,78.0,21.68,0.13
262,64.0,0.17,83.0,24.22,0.13
263,62.0,0.15,85.0,23.36,0.12
264,82.0,0.02,98.0,23.24,0.13
265,0.0,0.36,64.0,50.05,0.12
266,56.0,0.14,86.0,28.83,0.12
267,2.0,0.38,62.0,23.28,0.12
268,62.0,0.14,86.0,10.84,0.12
269,66.0,0.01,99.0,29.98,0.12
270,48.0,0.17,83.0,20.89,0.12
271,8.0,0.32,68.0,27.45,0.12
272,94.0,0.02,98.0,19.64,0.13
273,16.0,0.32,68.0,32.19,0.12
274,52.0,0.18,82.0,52.29,0.12
275,32.0,0.24,76.0,17.23,0.12
276,68.0,0.05,95.0,21.38,0.12
277,12.0,0.31,69.0,33.03,0.12
278,86.0,0.01,99.0,26.57,0.13
279,90.0,0.01,99.0,16.66,0.13
280,50.0,0.17,83.0,49.64,0.12
281,18.0,0.34,66.0,47.12,0.11
282,92.0,0.0,100.0,19.44,0.13
283,-2.0,0.38,62.0,66.41,0.12
284,94.0,0.01,99.0,7.89,0.13
285,72.0,0.04,96.0,11.77,0.13
286,54.0,0.17,83.0,11.8,0.12
287,68.0,0.04,96.0,37.73,0.14
288,-4.0,0.43,57.0,37.87,0.11
289,62.0,0.15,85.0,47.9,0.11
290,92.0,0.01,99.0,28.04,0.13
291,74.0,0.06,94.0,26.62,0.12
292,52.0,0.19,81.0,41.24,0.12
293,74.0,0.02,98.0,4.67,0.12
294,0.0,0.34,66.0,17.51,0.12
295,74.0,0.04,96.0,32.29,0.12
296,26.0,0.29,71.0,11.82,0.12
