episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
169,82.0,0.03,97.0,35.59,2.0,0.19
170,96.0,0.0,100.0,21.03,4.0,0.17
171,100.0,0.0,100.0,9.98,8.0,0.25
172,94.0,0.0,100.0,31.08,16.0,0.18
173,92.0,0.0,100.0,28.32,16.0,0.14
174,30.0,0.34,66.0,31.56,1.0,0.17
175,100.0,0.0,100.0,10.88,16.0,0.2
176,40.0,0.29,71.0,32.51,1.0,0.21
177,96.0,0.0,100.0,12.24,16.0,0.2
178,38.0,0.28,72.0,28.65,1.0,0.19
179,98.0,0.0,100.0,16.34,8.0,0.22
180,100.0,0.0,100.0,11.45,8.0,0.16
181,26.0,0.32,68.0,46.6,1.0,0.13
182,92.0,0.0,100.0,21.64,8.0,0.15
183,28.0,0.33,67.0,59.18,1.0,0.18
184,94.0,0.03,97.0,4.99,2.0,0.13
185,82.0,0.0,100.0,37.99,8.0,0.13
186,74.0,0.03,97.0,39.39,2.0,0.14
187,72.0,0.08,92.0,48.08,2.0,0.14
188,96.0,0.0,100.0,13.55,16.0,0.17
189,90.0,0.0,100.0,43.95,16.0,0.15
190,98.0,0.0,100.0,14.93,8.0,0.12
191,38.0,0.29,71.0,22.06,1.0,0.14
192,98.0,0.0,100.0,21.03,2.0,0.13
193,90.0,0.0,100.0,31.17,16.0,0.12
194,88.0,0.0,100.0,53.41,8.0,0.14
195,92.0,0.0,100.0,23.14,8.0,0.22
196,26.0,0.34,66.0,40.17,1.0,0.19
197,94.0,0.0,100.0,23.73,8.0,0.2
198,96.0,0.01,99.0,13.09,2.0,0.17
199,100.0,0.0,100.0,9.45,4.0,0.15
200,44.0,0.25,75.0,29.38,1.0,0.13
201,28.0,0.35,65.0,20.47,1.0,0.12
202,92.0,0.02,98.0,20.44,2.0,0.14
203,96.0,0.0,100.0,12.79,4.0,0.17
204,38.0,0.3,70.0,29.65,1.0,0.14
205,94.0,0.0,100.0,22.65,8.0,0.14
206,88.0,0.04,96.0,25.09,2.0,0.15
207,84.0,0.05,95.0,26.84,2.0,0.17
208,98.0,0.0,100.0,13.3,4.0,0.13
209,94.0,0.03,97.0,27.33,2.0,0.13
210,88.0,0.04,96.0,16.36,2.0,0.13
211,100.0,0.0,100.0,8.54,8.0,0.13
212,98.0,0.0,100.0,17.9,4.0,0.13
213,94.0,0.0,100.0,25.29,8.0,0.12
214,96.0,0.0,100.0,21.3,4.0,0.13
215,96.0,0.0,100.0,16.89,16.0,0.12
216,100.0,0.0,100.0,6.84,16.0,0.13
217,84.0,0.0,100.0,35.83,4.0,0.15
218,96.0,0.0,100.0,17.44,4.0,0.14
219,36.0,0.31,69.0,20.87,1.0,0.13
220,82.0,0.0,100.0,46.57,4.0,0.14
221,22.0,0.38,62.0,27.21,1.0,0.15
222,92.0,0.02,98.0,29.94,2.0,0.13
223,12.0,0.39,61.0,54.36,1.0,0.12
224,100.0,0.0,100.0,19.48,4.0,0.12
225,98.0,0.0,100.0,21.23,8.0,0.13
226,14.0,0.39,61.0,43.21,1.0,0.13
227,32.0,0.32,68.0,24.86,1.0,0.12
228,100.0,0.0,100.0,9.42,8.0,0.14
229,100.0,0.0,100.0,5.67,8.0,0.13
230,84.0,0.0,100.0,26.97,2.0,0.12
231,20.0,0.39,61.0,48.29,1.0,0.11
232,92.0,0.0,100.0,29.52,16.0,0.12
233,94.0,0.02,98.0,14.68,2.0,0.12
234,30.0,0.35,65.0,28.15,1.0,0.12
235,94.0,0.0,100.0,27.35,8.0,0.13
236,96.0,0.0,100.0,14.03,4.0,0.13
237,96.0,0.0,100.0,30.2,8.0,0.13
238,94.0,0.0,100.0,15.61,4.0,0.13
239,74.0,0.03,97.0,50.32,2.0,0.12
240,98.0,0.0,100.0,10.8,16.0,0.13
241,100.0,0.0,100.0,19.34,16.0,0.12
242,80.0,0.05,95.0,32.59,2.0,0.13
243,90.0,0.04,96.0,13.47,2.0,0.12
244,100.0,0.0,100.0,18.83,16.0,0.12
245,84.0,0.07,93.0,21.29,2.0,0.12
246,96.0,0.0,100.0,21.4,16.0,0.14
247,82.0,0.0,100.0,35.33,4.0,0.13
248,84.0,0.0,100.0,34.06,2.0,0.12
249,92.0,0.0,100.0,26.68,8.0,0.12
250,96.0,0.0,100.0,25.34,4.0,0.13
251,10.0,0.37,63.0,80.3,1.0,0.11
252,94.0,0.0,100.0,31.78,2.0,0.13
253,94.0,0.0,100.0,20.15,16.0,0.13
254,96.0,0.0,100.0,23.29,16.0,0.13
255,78.0,0.0,100.0,47.85,4.0,0.13
256,42.0,0.27,73.0,20.64,1.0,0.12
257,22.0,0.37,63.0,50.33,1.0,0.12
258,32.0,0.32,68.0,35.25,1.0,0.12
259,92.0,0.0,100.0,26.98,4.0,0.13
260,40.0,0.28,72.0,41.01,1.0,0.12
261,98.0,0.0,100.0,17.3,4.0,0.12
262,94.0,0.02,98.0,28.86,2.0,0.13
263,90.0,0.0,100.0,16.09,16.0,0.13
264,88.0,0.02,98.0,29.59,2.0,0.12
265,38.0,0.3,70.0,33.95,1.0,0.11
266,88.0,0.0,100.0,38.29,16.0,0.14
267,82.0,0.01,99.0,33.48,2.0,0.14
268,90.0,0.0,100.0,19.28,4.0,0.15
269,92.0,0.0,100.0,25.21,4.0,0.16
270,100.0,0.0,100.0,20.32,8.0,0.14
271,44.0,0.27,73.0,16.77,1.0,0.12
272,78.0,0.03,97.0,52.41,2.0,0.16
273,98.0,0.0,100.0,27.59,8.0,0.14
274,94.0,0.0,100.0,39.87,8.0,0.13
275,22.0,0.35,65.0,38.41,1.0,0.12
276,88.0,0.0,100.0,27.95,16.0,0.12
277,26.0,0.37,63.0,22.12,1.0,0.11
278,100.0,0.0,100.0,5.48,8.0,0.12
279,14.0,0.41,59.0,50.4,1.0,0.12
280,74.0,0.0,100.0,54.29,4.0,0.13
281,94.0,0.0,100.0,23.04,4.0,0.13
282,14.0,0.38,62.0,44.1,1.0,0.11
283,92.0,0.01,99.0,17.78,2.0,0.15
284,98.0,0.0,100.0,9.96,16.0,0.13
285,38.0,0.3,70.0,25.18,1.0,0.11
286,98.0,0.0,100.0,18.67,8.0,0.12
287,94.0,0.01,99.0,29.46,2.0,0.13
288,92.0,0.0,100.0,31.74,4.0,0.14
289,100.0,0.0,100.0,9.59,4.0,0.12
290,32.0,0.34,66.0,33.34,1.0,0.11
291,36.0,0.31,69.0,16.92,1.0,0.12
292,96.0,0.0,100.0,19.39,4.0,0.13
293,82.0,0.03,97.0,20.59,2.0,0.13
294,80.0,0.0,100.0,46.42,8.0,0.13
295,92.0,0.03,97.0,11.26,2.0,0.14
296,96.0,0.0,100.0,20.95,4.0,0.13
