episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
286,1101.2,0.04,96.0,44.06,4.49,0.09
287,741.14,0.02,98.0,32.32,8.42,1.17
288,1071.0,0.03,97.0,67.48,4.93,0.1
289,603.0,0.01,99.0,44.17,9.9,0.1
290,1059.7,0.03,97.0,44.3,5.04,0.1
291,996.0,0.02,98.0,71.71,5.82,0.1
292,1231.8,0.0,100.0,29.57,3.68,0.1
293,1397.0,0.03,97.0,58.13,1.57,0.11
294,1146.27,0.0,100.0,50.19,4.54,0.1
295,870.0,0.03,97.0,76.6,7.0,0.1
296,354.28,0.03,97.0,62.57,12.32,0.1
297,655.0,0.01,99.0,58.07,9.37,0.1
298,1232.92,0.02,98.0,58.9,3.4,0.09
299,1340.97,0.04,96.0,47.88,1.99,0.1
300,349.0,0.03,97.0,30.58,12.37,0.09
301,378.0,0.02,98.0,43.13,12.12,0.1
302,1161.23,0.02,98.0,71.39,4.13,0.1
303,1069.0,0.01,99.0,77.48,5.19,0.1
304,1155.0,0.02,98.0,36.99,4.19,0.09
305,1232.93,0.02,98.0,43.82,3.4,0.09
306,951.0,0.02,98.0,66.23,6.28,0.09
307,1389.46,0.03,97.0,75.56,1.64,0.1
308,948.0,0.0,100.0,66.74,6.52,1.13
309,1002.13,0.01,99.0,17.7,5.87,0.1
310,611.0,0.01,99.0,48.37,9.82,0.1
311,1037.37,0.01,99.0,42.33,5.51,0.1
312,584.0,0.04,96.0,58.72,9.88,0.1
313,896.0,0.0,100.0,39.72,7.04,0.1
314,534.0,0.02,98.0,59.99,10.53,0.09
315,860.33,0.01,99.0,47.61,7.3,0.1
316,167.0,0.01,99.0,61.25,14.3,0.09
317,1285.18,0.04,96.0,64.85,2.57,0.1
318,900.77,0.0,100.0,25.66,6.99,0.1
319,601.03,0.0,100.0,73.66,9.99,0.1
320,1227.04,0.02,98.0,37.85,3.46,0.1
321,656.0,0.0,100.0,65.24,9.44,0.1
322,1265.9,0.01,99.0,67.16,3.2,0.1
323,1138.54,0.0,100.0,46.96,4.61,0.1
324,731.14,0.02,98.0,53.08,8.52,0.12
325,1040.5,0.0,100.0,47.18,5.59,0.09
326,1247.99,0.01,99.0,59.01,3.38,0.09
327,164.0,0.01,99.0,48.79,14.33,0.1
328,1251.0,0.01,99.0,37.62,3.35,1.14
329,746.0,0.03,97.0,40.3,8.28,0.11
330,1203.0,0.01,99.0,71.9,3.84,0.09
331,468.0,0.0,100.0,62.59,11.32,0.1
332,968.1,0.0,100.0,38.92,6.32,0.09
333,776.0,0.04,96.0,38.15,7.88,0.09
334,803.76,0.02,98.0,51.39,7.78,0.1
335,907.4,0.01,99.0,73.22,6.82,0.1
336,545.08,0.02,98.0,38.74,10.42,0.11
337,1318.1,0.01,99.0,51.81,2.68,0.1
338,263.0,0.01,99.0,66.87,13.33,0.1
339,951.6,0.03,97.0,31.97,6.16,0.11
340,1302.73,0.02,98.0,33.32,2.69,0.1
341,1279.34,0.02,98.0,18.03,2.93,0.1
342,1212.89,0.01,99.0,22.32,3.74,0.1
343,1170.33,0.0,100.0,39.67,4.3,0.1
344,985.0,0.02,98.0,42.38,5.93,0.1
345,1062.47,0.0,100.0,39.02,5.38,0.1
346,827.18,0.0,100.0,31.93,7.73,0.11
347,464.0,0.02,98.0,30.23,11.24,0.09
