23,56.0,0.11,89.0,85.86,0.35
23,40.0,0.19,81.0,79.47,0.35
24,76.0,0.08,92.0,77.27,0.34
24,68.0,0.09,91.0,81.47,0.34
24,60.0,0.09,91.0,39.07,0.34
25,36.0,0.25,75.0,93.57,0.34
25,44.0,0.18,82.0,61.97,0.34
26,58.0,0.16,84.0,71.08,0.32

26,80.0,0.08,92.0,46.95,0.32
26,52.0,0.19,81.0,56.6,0.32
27,64.0,0.13,87.0,108.53,0.33
27,48.0,0.21,79.0,111.51,0.3327
27,58.0,0.14,86.0,63.95,0.33
28,48.0,0.2,80.0,134.95,0.29

28,68.0,0.05,95.0,84.91,0.29
29,50.0,0.19,81.0,68.72,0.26
29,48.0,0.21,79.0,49.08,0.26
29,72.0,0.06,94.0,62.38,0.26
30,72.0,0.11,89.0,53.04,0.28
30,74.0,0.08,92.0,47.88,0.28
31,72.0,0.08,92.0,48.28,0.28
31,80.0,0.02,98.0,43.61,0.28

32,50.0,0.16,84.0,92.74,0.27
32,64.0,0.03,97.0,61.18,0.27
33,38.0,0.17,83.0,70.51,0.28
33,84.0,0.02,98.0,56.62,0.28
33,68.0,0.07,93.0,79.93,0.28
34,84.0,0.03,97.0,39.56,0.26
34,48.0,0.12,88.0,58.34,0.26
4,90.0,0.03,97.0,51.56,0.26
35,46.0,0.18,82.0,122.99,0.27
35,62.0,0.11,89.0,64.78,0.27
36,66.0,0.1,90.0,77.34,0.26

36,76.0,0.05,95.0,33.75,0.26
36,66.0,0.08,92.0,41.76,0.26
37,8.0,0.32,68.0,117.15,0.26
37,90.0,0.02,98.0,45.78,0.26
37,72.0,0.1,90.0,43.86,0.26
37,66.0,0.06,94.0,62.16,0.26
38,66.0,0.1,90.0,94.04,0.27

38,74.0,0.1,90.0,96.89,0.27
38,70.0,0.03,97.0,66.5,0.27
38,72.0,0.1,90.0,47.0,0.27
39,64.0,0.09,91.0,47.1,0.27

39,88.0,0.0,100.0,55.77,0.27
39,64.0,0.04,96.0,52.3,0.27

40,76.0,0.07,93.0,79.83,0.29
40,26.0,0.25,75.0,75.3,0.29
40,72.0,0.07,93.0,59.24,0.29
40,84.0,0.04,96.0,49.77,0.29
41,66.0,0.14,86.0,79.01,0.27
41,38.0,0.21,79.0,72.52,0.27
42,74.0,0.07,93.0,31.34,0.29
42,68.0,0.07,93.0,53.4,0.29
42,82.0,0.04,96.0,63.15,0.29
43,54.0,0.13,87.0,36.81,0.27
43,90.0,0.01,99.0,58.92,0.27
43,46.0,0.1,90.0,36.5,0.27
44,70.0,0.09,91.0,41.66,0.27
44,84.0,0.02,98.0,50.87,0.26
44,54.0,0.1,90.0,63.56,0.26

45,64.0,0.09,91.0,50.11,0.27
45,94.0,0.01,99.0,29.39,0.27
45,54.0,0.17,83.0,78.13,0.27
46,48.0,0.13,87.0,49.28,0.28
46,84.0,0.06,94.0,33.3,0.28
46,82.0,0.04,96.0,52.15,0.28
47,60.0,0.06,94.0,56.45,0.27
47,74.0,0.09,91.0,30.69,0.27
47,86.0,0.03,97.0,28.04,0.27
48,76.0,0.02,98.0,63.73,0.27
48,56.0,0.1,90.0,51.69,0.27
49,52.0,0.14,86.0,52.99,0.28
49,84.0,0.03,97.0,49.25,0.28
49,82.0,0.02,98.0,53.1,0.28

50,86.0,0.03,97.0,59.8,0.28

50,88.0,0.03,97.0,57.09,0.28
51,78.0,0.09,91.0,61.44,0.28
52,56.0,0.04,96.0,56.02,0.26
52,84.0,0.05,95.0,38.26,0.26
52,78.0,0.03,97.0,37.03,0.26
53,54.0,0.07,93.0,42.58,0.26
53,78.0,0.04,96.0,65.45,0.26
53,84.0,0.02,98.0,43.49,0.26
53,68.0,0.07,93.0,54.0,0.26
53,88.0,0.02,98.0,100.33,0.26
54,56.0,0.07,93.0,80.01,0.27
54,94.0,0.02,98.0,29.43,0.27
54,80.0,0.02,98.0,36.94,0.27
55,74.0,0.04,96.0,48.16,0.27
55,84.0,0.03,97.0,44.99,0.27
55,94.0,0.0,100.0,39.85,0.27
56,86.0,0.05,95.0,31.39,0.29
56,84.0,0.03,97.0,83.38,0.29
56,90.0,0.0,100.0,46.37,0.29
56,90.0,0.0,100.0,30.8,0.29
57,50.0,0.18,82.0,64.25,0.28
57,88.0,0.0,100.0,54.73,0.28
57,62.0,0.04,96.0,29.6,0.28

