episode,reward,execution_time
201,24.0,0.12
201,70.0,0.12
201,68.0,0.12
202,18.0,0.12
202,60.0,0.12
203,44.0,0.12
204,76.0,0.13
204,70.0,0.13
205,70.0,0.12
205,84.0,0.12
206,76.0,0.12
206,78.0,0.12
207,46.0,0.12
208,60.0,0.12
208,70.0,0.12
209,66.0,0.12
209,80.0,0.12
209,74.0,0.12
210,60.0,0.11
210,72.0,0.11
210,86.0,0.11
211,62.0,0.11
211,58.0,0.11
212,66.0,0.13
212,76.0,0.13
213,76.0,0.12
213,78.0,0.12
213,68.0,0.12
214,74.0,0.11
215,76.0,0.12
216,58.0,0.12
216,62.0,0.12
216,70.0,0.12
217,50.0,0.13
217,16.0,0.13
218,64.0,0.14
218,80.0,0.14
219,68.0,0.12
219,68.0,0.12
220,80.0,0.14
220,74.0,0.14
221,60.0,0.12
222,68.0,0.11
222,46.0,0.11
222,74.0,0.11
223,72.0,0.13
223,20.0,0.13
223,48.0,0.13
224,50.0,0.12
224,72.0,0.12
225,80.0,0.12
226,68.0,0.12
226,62.0,0.12
227,68.0,0.12
227,68.0,0.12
228,70.0,0.14
228,78.0,0.14
229,70.0,0.12
229,74.0,0.12
230,84.0,0.12
230,56.0,0.12
231,80.0,0.11
231,50.0,0.11
232,80.0,0.12
232,84.0,0.12
233,74.0,0.14
234,64.0,0.14
234,64.0,0.14
234,76.0,0.14
235,26.0,0.14
235,54.0,0.14
236,28.0,0.15
236,78.0,0.15
237,56.0,0.12
237,60.0,0.12
237,70.0,0.12
238,22.0,0.11
238,78.0,0.11
238,70.0,0.11
239,60.0,0.14
239,52.0,0.14
240,70.0,0.12
240,68.0,0.12
241,66.0,0.12
242,76.0,0.12
242,30.0,0.12
243,72.0,0.12
243,28.0,0.12
244,56.0,0.16
245,64.0,0.17
245,80.0,0.17
246,72.0,0.17
246,78.0,0.17
247,16.0,0.22
248,56.0,0.17
249,68.0,0.15
249,64.0,0.15
250,70.0,0.14
250,72.0,0.14
