episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
206.0,664.28,0.13,87.0,95.37,8.22,0.55
207.0,1065.76,0.12,88.0,39.98,3.75,0.47
208.0,546.69,0.14,86.0,36.77,9.48,0.47
209.0,856.5,0.16,84.0,67.79,5.61,0.53
210.0,1099.2,0.11,89.0,35.83,3.53,0.55
211.0,1084.0,0.26,74.0,102.67,1.0,0.62
212.0,955.31,0.18,82.0,43.6,4.13,0.53
213.0,631.81,0.15,85.0,109.46,8.39,0.61
214.0,616.75,0.21,79.0,60.71,7.93,0.5
215.0,806.32,0.12,88.0,63.4,6.7,0.48
216.0,554.0,0.13,87.0,43.26,9.48,0.47
217.0,489.28,0.15,85.0,75.53,10.07,0.4121
218.0,832.8,0.14,86.0,70.67,6.15,0.37
219.0,530.86,0.16,84.0,81.66,9.49,0.34
220.0,848.0,0.12,88.0,48.98,6.23,0.35
221.0,655.33,0.18,82.0,49.45,7.79,0.37
222.0,945.33,0.16,84.0,38.48,4.56,0.32
223.0,979.86,0.19,81.0,37.26,3.67,0.33
224.0,901.64,0.12,88.0,50.5,5.62,0.32
225.0,775.0,0.17,83.0,41.74,6.46,0.34
226.0,818.0,0.18,82.0,47.58,5.8,0.33
227.0,808.27,0.18,82.0,50.79,5.92,0.34
228.0,702.78,0.15,85.0,72.32,7.56,0.35
229.0,393.0,0.15,85.0,101.31,11.2,0.33
230.0,1011.41,0.09,91.0,67.27,4.79,0.31
231.0,568.0,0.16,84.0,76.16,9.05,0.29
232.0,729.43,0.25,75.0,113.29,5.94,0.35
233.0,321.0,0.15,85.0,42.56,12.05,0.31
2233.0,726.61,0.07,93.0,35.98,8.11,0.31
234.0,685.09,0.13,87.0,54.27,7.98,0.3
235.0,1015.08,0.13,87.0,45.53,4.18,0.31
236.0,966.34,0.13,87.0,66.33,4.74,0.33
237.0,941.0,0.15,85.0,72.36,4.75,0.31
238.0,694.21,0.12,88.0,54.6,7.97,0.33
239.0,880.59,0.13,87.0,52.14,5.73,0.32
240.0,750.0,0.14,86.0,89.04,7.12,0.31
2240.0,956.4,0.19,81.0,65.13,3.96,0.31
241.0,564.0,0.12,88.0,37.37,9.45,0.33
242.0,702.22,0.14,86.0,110.59,7.67,0.35
243.0,1098.4,0.08,92.0,73.86,3.97,0.33
244.0,1090.27,0.12,88.0,67.28,3.47,0.2
245.0,891.74,0.14,86.0,64.55,5.47,0.31
246.0,634.48,0.15,85.0,60.77,8.36,0.33
247.0,1079.07,0.1,90.0,65.67,3.9,0.35
248.0,673.1,0.17,83.0,49.19,7.69,0.33
249.0,548.0,0.08,92.0,109.12,9.96,0.32
250.0,482.62,0.16,84.0,98.66,10.06,0.32
251.0,556.0,0.14,86.0,64.88,9.37,0.31
252.0,744.63,0.14,86.0,89.85,7.18,0.32
253.0,1101.97,0.16,84.0,51.67,2.69,0.3
254.0,756.56,0.15,85.0,78.28,6.92,0.31
255.0,1071.77,0.19,81.0,88.61,2.53,0.31
256.0,902.06,0.17,83.0,76.44,4.93,0.32
257.0,1156.71,0.09,91.0,68.68,3.19,0.33
258.0,1022.7,0.14,86.0,70.4,3.95,0.3
259.0,823.0,0.14,86.0,70.41,6.27,0.31
260.0,1002.29,0.15,85.0,72.34,4.03,0.32
261.0,384.0,0.16,84.0,63.32,11.24,0.31
262.0,884.3,0.12,88.0,111.69,5.81,0.31
263.0,473.0,0.15,85.0,100.8,10.26,0.32
264.0,490.58,0.13,87.0,55.98,10.21,0.312
265.0,727.28,0.18,82.0,92.19,6.91,0.3
266.0,1169.24,0.15,85.0,38.45,2.07,0.32
267.0,766.95,0.15,85.0,55.77,6.8,0.31
268.0,980.18,0.19,81.0,89.45,3.66,0.3
269.0,822.87,0.09,91.0,56.22,6.86,0.32
270.0,445.76,0.2,80.0,97.83,10.18,0.31
271.0,596.0,0.16,84.0,52.2,8.71,0.3
272.0,868.08,0.14,86.0,41.52,5.74,0.33
273.0,991.48,0.13,87.0,40.8,4.45,0.32
274.0,384.05,0.18,82.0,65.16,11.1,0.3
275.0,654.14,0.16,84.0,99.44,8.02,0.31
276.0,681.4,0.23,77.0,108.67,6.85,0.32
277.0,806.27,0.16,84.0,97.2,6.21,0.36
278.0,1174.91,0.1,90.0,56.98,2.83,0.31
279.0,968.0,0.1,90.0,85.37,5.13,0.29
280.0,729.69,0.15,85.0,41.75,7.24,0.32
281.0,886.04,0.16,84.0,45.14,5.26,0.3
282.0,750.23,0.18,82.0,53.54,6.63,0.33
283.0,885.49,0.19,81.0,92.97,4.83,0.3
284.0,791.35,0.14,86.0,67.94,6.64,0.31
285.0,899.22,0.1,90.0,78.32,5.9,0.31
286.0,874.28,0.15,85.0,95.4,5.54,0.32
287.0,612.0,0.18,82.0,88.5,8.32,0.32
2287.0,414.0,0.1,90.0,52.71,11.29,0.32
288.0,730.47,0.12,88.0,84.55,7.56,0.35
289.0,886.23,0.13,87.0,101.47,5.66,0.33
290.0,793.88,0.12,88.0,97.52,6.84,0.36
291.0,874.63,0.07,93.0,67.35,6.52,0.35
292.0,1169.65,0.17,83.0,41.75,1.7,0.35
293.0,812.0,0.12,88.0,112.46,6.64,0.36
