episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
147,50,100,20.452222,1,1,50,0.16,84,128.77,4.66,0.2
148,40,100,20.641907,1,2,40,0.22,78,102.05,1.61,0.19
149,66,100,20.814574,1,3,66,0.12,88,63.43,10.43,0.18
150,56,100,20.99421,1,1,56,0.22,78,35.38,10.57,0.16
151,70,100,21.191378,1,3,70,0.14,86,85.33,11.71,0.17
152,62,100,21.373598,1,0,62,0.16,84,78,3.98,0.18
153,54,100,21.552793,-1,4,54,0.18,82,96.51,8.26,0.17
154,56,100,21.7281,1,0,56,0.17,83,54.95,9.68,0.17
155,62,100,21.911174,1,1,62,0.12,88,27.56,10.1,0.16
156,54,100,22.103283,-1,5,54,0.13,87,88.67,2.55,0.17
157,56,100,22.298227,-1,5,56,0.2,80,87.76,10.77,0.18
158,54,100,22.494688,1,0,54,0.19,81,50.03,9.79,0.18
159,54,100,22.672341,1,3,54,0.21,79,84.93,6.59,0.18
160,74,100,22.873621,1,4,74,0.12,88,49.71,9.9,0.16
161,62,100,23.060501,1,3,62,0.14,86,75.04,11.84,0.18
162,62,100,23.271884,1,2,62,0.18,82,46.13,8.64,0.17
163,42,100,23.461158,-1,0,42,0.18,82,112.37,2,0.2
164,64,100,23.645968,1,1,64,0.16,84,35.79,11.84,0.17
165,38,100,23.832789,-1,2,38,0.21,79,88.02,4.83,0.17
166,68,100,24.02354,1,1,68,0.16,84,53.96,12.6,0.17
167,76,100,24.222172,1,2,76,0.11,89,33.26,14.1,0.18
168,52,100,24.411801,1,2,52,0.23,77,61.41,11.25,0.18
169,38,100,24.599044,1,3,38,0.15,85,40.56,2.45,0.18
170,62,100,24.785367,1,0,62,0.14,86,59.38,6.21,0.17
171,42,100,24.968033,1,4,42,0.2,80,97.09,3.65,0.17
172,50,100,25.155199,1,0,50,0.16,84,70.94,7.35,0.17
173,58,100,25.347551,1,1,58,0.14,86,57.23,3.98,0.17
174,62,100,25.529966,1,0,62,0.19,81,78.56,13.19,0.18
175,58,100,25.709872,1,3,58,0.16,84,63.28,5.17,0.17
176,52,100,25.89984,1,2,52,0.17,83,55.14,4.77,0.17
177,66,100,26.090762,1,0,66,0.11,89,69.23,5.2,0.18
178,66,100,26.289256,1,4,66,0.12,88,67.71,7.98,0.18
179,70,100,26.490449,1,0,70,0.12,88,57.2,5.89,0.18
180,48,100,26.686367,1,2,48,0.2,80,70.44,5.93,0.19
181,68,100,26.88785,-1,2,68,0.11,89,52.12,10.32,0.18
182,44,100,27.142828,1,4,44,0.17,83,91.49,2.56,0.19
183,56,100,27.53456,1,1,56,0.18,82,104.02,5.95,0.24
184,62,100,28.005167,-1,5,62,0.16,84,110.32,6.19,0.37
185,72,100,28.352112,1,2,72,0.11,89,58.17,9.9,0.45
186,68,100,28.652814,-1,5,68,0.14,86,114.04,7.86,0.33
