episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
180,84.0,0.08,92.0,50.88,12.52,0.1
181,82.0,0.02,98.0,30.15,4.77,0.1
182,32.0,0.11,89.0,70.1,1.0,0.12
183,82.0,0.02,98.0,60.42,7.29,0.11
184,84.0,0.04,96.0,37.46,7.78,0.11
185,82.0,0.07,93.0,58.24,7.66,1.15
186,68.0,0.03,97.0,74.72,4.37,0.11
187,76.0,0.02,98.0,73.71,6.22,0.1
188,92.0,0.0,100.0,60.86,5.45,0.1
189,94.0,0.01,99.0,26.39,7.48,0.11
190,80.0,0.0,100.0,42.38,8.41,0.11
191,90.0,0.02,98.0,48.07,8.65,0.1
192,96.0,0.02,98.0,70.34,7.77,0.11
193,64.0,0.02,98.0,97.6,3.39,0.1
194,78.0,0.01,99.0,74.43,7.85,0.1
195,66.0,0.05,95.0,34.71,5.14,0.11
196,74.0,0.03,97.0,65.48,2.31,0.1
197,78.0,0.04,96.0,51.16,5.36,0.11
198,96.0,0.02,98.0,60.72,7.5,0.1
199,80.0,0.04,96.0,83.33,4.77,0.1
200,68.0,0.05,95.0,45.51,6.05,0.1
201,84.0,0.0,100.0,57.92,4.3,0.11
202,94.0,0.01,99.0,73.78,9.81,0.1
203,82.0,0.04,96.0,55.92,11.54,0.1
204,86.0,0.03,97.0,40.27,6.68,0.1
205,80.0,0.02,98.0,59.02,5.26,1.14
206,100.0,0.0,100.0,69.14,11.56,0.1
207,72.0,0.06,94.0,19.23,4.65,0.1
208,70.0,0.02,98.0,91.0,3.24,0.11
209,72.0,0.04,96.0,54.12,3.05,0.11
210,78.0,0.02,98.0,65.53,4.76,0.1
211,80.0,0.03,97.0,48.33,10.73,0.11
212,84.0,0.0,100.0,63.42,11.75,0.12
213,94.0,0.0,100.0,82.98,10.64,0.1
214,96.0,0.0,100.0,42.74,11.37,0.1
215,94.0,0.03,97.0,38.86,8.68,0.1
216,84.0,0.05,95.0,73.51,10.78,0.1
217,82.0,0.03,97.0,44.29,5.58,0.1
218,80.0,0.02,98.0,65.98,7.91,0.1
219,92.0,0.03,97.0,62.11,6.58,0.1
220,96.0,0.02,98.0,49.02,13.55,0.1
221,68.0,0.01,99.0,91.89,3.59,0.11
222,92.0,0.01,99.0,60.57,6.21,0.11
223,86.0,0.03,97.0,42.48,10.89,0.1
224,74.0,0.05,95.0,109.98,8.5,0.11
225,66.0,0.05,95.0,58.56,5.06,0.11
226,80.0,0.04,96.0,64.66,8.58,1.15
227,88.0,0.0,100.0,46.09,8.2,0.1
228,68.0,0.04,96.0,30.49,2.61,0.11
229,64.0,0.04,96.0,42.96,2.72,0.1
230,64.0,0.02,98.0,67.56,2.38,0.11
231,74.0,0.03,97.0,52.02,4.42,0.11
232,56.0,0.02,98.0,102.63,1.45,0.11
233,84.0,0.01,99.0,52.76,5.9,0.1
234,54.0,0.01,99.0,77.36,1.95,0.11
235,84.0,0.01,99.0,94.04,10.0,0.11
236,90.0,0.02,98.0,70.29,9.88,0.1
237,80.0,0.0,100.0,58.29,9.84,0.1
238,76.0,0.03,97.0,63.64,5.51,0.11
239,82.0,0.0,100.0,32.49,3.44,0.11
240,90.0,0.01,99.0,85.4,7.27,0.1
241,66.0,0.03,97.0,52.39,3.14,0.11
242,88.0,0.03,97.0,42.19,8.47,0.1
243,86.0,0.02,98.0,93.48,9.63,0.12
244,96.0,0.01,99.0,66.02,8.59,0.11
245,74.0,0.03,97.0,48.63,9.1,0.11
246,88.0,0.04,96.0,57.9,14.28,1.12
247,64.0,0.01,99.0,50.07,6.63,0.1
248,94.0,0.01,99.0,56.48,5.71,0.11
249,84.0,0.02,98.0,43.05,3.41,0.1
250,62.0,0.03,97.0,69.25,1.79,0.12
251,96.0,0.01,99.0,55.44,9.85,0.1
252,90.0,0.01,99.0,65.34,5.48,0.11
253,58.0,0.04,96.0,34.76,4.8,0.1
254,82.0,0.02,98.0,71.93,2.83,0.11
255,76.0,0.05,95.0,83.58,7.58,0.11
256,94.0,0.02,98.0,62.53,13.96,0.11
257,64.0,0.01,99.0,80.27,3.93,0.11
258,78.0,0.0,100.0,46.53,7.31,0.1
259,68.0,0.03,97.0,52.39,3.31,0.11
260,84.0,0.0,100.0,36.31,6.87,0.1
261,88.0,0.02,98.0,41.14,9.7,0.1
262,82.0,0.02,98.0,27.69,5.98,0.1
263,72.0,0.02,98.0,40.42,4.45,0.1
264,64.0,0.02,98.0,42.44,3.67,0.1
265,90.0,0.02,98.0,93.68,10.25,0.11
266,76.0,0.03,97.0,66.47,6.77,0.11
267,86.0,0.01,99.0,59.83,8.36,1.13
268,82.0,0.01,99.0,48.25,3.19,0.1
269,92.0,0.02,98.0,61.25,9.27,0.1
270,90.0,0.02,98.0,75.43,5.7,0.1
271,96.0,0.01,99.0,52.07,10.91,0.1
272,80.0,0.01,99.0,46.75,6.96,0.11
273,92.0,0.03,97.0,49.74,8.27,0.1
274,90.0,0.02,98.0,73.24,13.18,0.11
275,96.0,0.01,99.0,78.18,7.67,0.1
276,82.0,0.03,97.0,41.36,5.57,0.11
277,62.0,0.02,98.0,70.99,1.0,0.12
278,88.0,0.01,99.0,54.11,4.26,0.11
279,90.0,0.01,99.0,72.13,6.11,0.1
280,84.0,0.03,97.0,54.12,7.53,0.1
281,44.0,0.01,99.0,65.93,1.83,0.11
282,80.0,0.02,98.0,21.22,10.1,0.1
283,90.0,0.03,97.0,47.98,11.79,0.11
284,80.0,0.01,99.0,48.17,9.58,0.11
285,100.0,0.0,100.0,51.93,8.55,0.11
286,86.0,0.04,96.0,36.18,11.62,0.1
287,74.0,0.0,100.0,83.39,7.5,1.11
288,88.0,0.02,98.0,38.76,3.35,0.11
289,78.0,0.01,99.0,98.72,7.37,0.1
290,92.0,0.01,99.0,65.27,7.2,0.1
291,94.0,0.03,97.0,51.14,13.03,0.1
292,90.0,0.0,100.0,71.62,6.56,0.11
293,72.0,0.0,100.0,65.49,3.93,0.1
294,90.0,0.01,99.0,70.31,11.49,0.1
295,76.0,0.02,98.0,69.07,9.69,0.1
296,74.0,0.04,96.0,40.11,9.06,0.1
297,96.0,0.02,98.0,56.63,15.27,0.1
298,84.0,0.01,99.0,37.48,9.31,0.1
299,88.0,0.0,100.0,98.09,4.27,0.1
300,86.0,0.01,99.0,66.33,6.2,0.1
301,86.0,0.03,97.0,49.97,6.18,0.11
302,92.0,0.03,97.0,69.14,9.65,0.11
303,76.0,0.05,95.0,29.17,7.16,0.1
304,86.0,0.01,99.0,39.28,8.22,0.1
305,86.0,0.0,100.0,60.39,3.47,0.11
306,86.0,0.01,99.0,50.37,2.84,0.1
307,84.0,0.01,99.0,32.09,5.7,0.1
308,86.0,0.02,98.0,30.42,4.69,1.12
309,44.0,0.02,98.0,39.45,2.51,0.11
310,80.0,0.01,99.0,45.51,7.64,0.11
311,86.0,0.02,98.0,50.72,7.82,0.1
312,74.0,0.02,98.0,22.83,6.23,0.1
313,80.0,0.02,98.0,27.77,3.18,0.1
314,100.0,0.0,100.0,66.47,12.0,0.1
315,82.0,0.01,99.0,63.37,6.43,0.1
316,86.0,0.0,100.0,70.48,10.2,0.1
317,94.0,0.03,97.0,67.2,10.54,0.1
318,84.0,0.02,98.0,43.29,6.91,0.11
319,90.0,0.01,99.0,69.09,11.65,0.11
320,66.0,0.01,99.0,56.24,5.93,0.1
321,98.0,0.01,99.0,23.82,10.33,0.1
322,86.0,0.01,99.0,71.45,6.64,0.1
323,82.0,0.01,99.0,69.25,4.02,0.11
324,74.0,0.01,99.0,45.95,6.84,0.1
325,72.0,0.02,98.0,61.21,2.67,0.11
326,92.0,0.01,99.0,22.02,13.11,0.1
327,90.0,0.01,99.0,62.84,5.22,0.1
328,96.0,0.0,100.0,55.48,10.68,1.14
329,90.0,0.03,97.0,34.51,11.77,0.1
330,96.0,0.0,100.0,70.2,6.25,0.1
331,78.0,0.01,99.0,13.23,2.74,0.1
332,88.0,0.0,100.0,59.14,5.44,0.1
333,78.0,0.01,99.0,25.09,4.97,0.1
334,98.0,0.0,100.0,33.95,14.13,0.1
335,72.0,0.01,99.0,42.8,1.91,0.11
336,80.0,0.03,97.0,72.59,5.43,0.1
337,90.0,0.02,98.0,18.07,5.07,0.11
338,94.0,0.02,98.0,34.47,6.21,0.1
339,58.0,0.01,99.0,23.47,1.69,0.11
340,94.0,0.01,99.0,44.47,5.04,0.1
341,74.0,0.0,100.0,41.5,2.67,0.1
342,96.0,0.01,99.0,70.98,4.44,0.1
343,98.0,0.01,99.0,45.09,13.23,0.1
344,100.0,0.0,100.0,87.28,12.8,0.11
345,84.0,0.03,97.0,63.91,7.17,0.1
346,98.0,0.01,99.0,44.47,11.8,0.11
347,94.0,0.0,100.0,42.62,3.42,0.1
348,80.0,0.01,99.0,65.55,6.06,0.1
349,100.0,0.0,100.0,36.31,4.35,1.15
350,96.0,0.01,99.0,39.17,5.5,0.1
351,84.0,0.0,100.0,44.99,5.75,0.1
352,72.0,0.0,100.0,68.12,6.78,0.1
353,84.0,0.01,99.0,54.26,11.21,0.1
354,90.0,0.0,100.0,53.89,4.64,0.1
355,62.0,0.01,99.0,50.69,2.05,0.11
356,92.0,0.0,100.0,55.59,13.72,0.11
