episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
45.0,38.0,0.24,76.0,131.35,0.25
45.0,46.0,0.19,81.0,87.48,0.25
45.0,38.0,0.22,78.0,102.91,0.25
46.0,34.0,0.23,77.0,56.52,0.24
46.0,54.0,0.12,88.0,68.91,0.24
46.0,48.0,0.21,79.0,92.93,0.24
46.0,46.0,0.2,80.0,40.88,0.24
46.0,28.0,0.17,83.0,55.35,0.24
46.0,34.0,0.19,81.0,69.68,0.24
47.0,54.0,0.17,83.0,95.89,0.27
7.0,52.0,0.2,80.0,59.35,0.27
47.0,52.0,0.18,82.0,79.22,0.27
47.0,34.0,0.25,75.0,112.2,0.27
47.0,40.0,0.22,78.0,113.39,0.27
48.0,40.0,0.17,83.0,102.5,0.29
48.0,54.0,0.21,79.0,126.32,0.29
48.0,32.0,0.26,74.0,149.86,0.29
48.0,44.0,0.18,82.0,47.89,0.29
48.0,34.0,0.21,79.0,95.67,0.29
48.0,40.0,0.25,75.0,103.7,0.29
49.0,50.0,0.19,81.0,33.32,0.26
49.0,42.0,0.22,78.0,88.78,0.26
49.0,42.0,0.15,85.0,132.96,0.26
49.0,46.0,0.2,80.0,84.0,0.26
50.0,40.0,0.2,80.0,100.59,0.25
50.0,22.0,0.28,72.0,96.26,0.25
50.0,54.0,0.16,84.0,70.1,0.25
50.0,36.0,0.19,81.0,80.63,0.25
50.0,50.0,0.2,80.0,64.64,0.25
50.0,40.0,0.2,80.0,91.68,0.25
50.0,62.0,0.14,86.0,82.9,0.25
51.0,36.0,0.23,77.0,76.61,0.25
51.0,22.0,0.29,71.0,87.24,0.25
51.0,18.0,0.31,69.0,106.14,0.25
51.0,34.0,0.19,81.0,96.03,0.25
51.0,38.0,0.18,82.0,72.58,0.25
51.0,52.0,0.2,80.0,55.27,0.25
52.0,14.0,0.29,71.0,107.85,0.28
52.0,48.0,0.16,84.0,47.42,0.28
52.0,24.0,0.27,73.0,114.36,0.28
52.0,54.0,0.17,83.0,86.58,0.28
53.0,26.0,0.23,77.0,132.56,0.31
553.0,46.0,0.2,80.0,115.74,0.31
53.0,60.0,0.16,84.0,85.32,0.31
53.0,44.0,0.22,78.0,118.05,0.31
54.0,36.0,0.23,77.0,81.31,0.26
54.0,22.0,0.27,73.0,103.45,0.26
54.0,48.0,0.17,83.0,76.8,0.26
55.0,28.0,0.28,72.0,63.93,0.29
55.0,34.0,0.24,76.0,83.99,0.29
56.0,30.0,0.2,80.0,83.12,0.29
56.0,60.0,0.16,84.0,65.76,0.29
56.0,38.0,0.24,76.0,64.05,0.29
56.0,34.0,0.16,84.0,93.96,0.29
56.0,44.0,0.23,77.0,68.77,0.29
57.0,14.0,0.29,71.0,52.32,0.25
57.0,40.0,0.23,77.0,67.48,0.25
57.0,32.0,0.25,75.0,41.61,0.25
57.0,48.0,0.2,80.0,74.33,0.25
57.0,36.0,0.23,77.0,121.51,0.25
58.0,6.0,0.33,67.0,101.15,0.33
58.0,46.0,0.22,78.0,57.91,0.33
58.0,24.0,0.25,75.0,70.17,0.33
59.0,24.0,0.2,80.0,109.16,0.35
59.0,46.0,0.21,79.0,65.95,0.35
60.0,52.0,0.24,76.0,70.07,0.28
60.0,52.0,0.2,80.0,95.37,0.28
60.0,38.0,0.28,72.0,70.81,0.28
61.0,30.0,0.22,78.0,115.9,0.29
61.0,64.0,0.15,85.0,49.04,0.29
62.0,44.0,0.19,81.0,76.53,0.26
62.0,24.0,0.25,75.0,102.43,0.26
62.0,48.0,0.13,87.0,46.46,0.26
62.0,42.0,0.17,83.0,111.57,0.26
62.0,62.0,0.12,88.0,96.85,0.26
62.0,44.0,0.23,77.0,80.54,0.26
63.0,36.0,0.23,77.0,84.39,0.25
63.0,34.0,0.23,77.0,75.37,0.24
63.0,-10.0,0.41,59.0,96.62,0.24
63.0,26.0,0.25,75.0,117.0,0.24
63.0,50.0,0.18,82.0,94.22,0.24
63.0,32.0,0.23,77.0,130.18,0.24
64.0,42.0,0.18,82.0,74.12,0.32
64.0,24.0,0.24,76.0,123.33,0.32
64.0,66.0,0.13,87.0,30.25,0.32
64.0,26.0,0.22,78.0,93.67,0.32
64.0,38.0,0.2,80.0,90.2,0.32
65.0,34.0,0.24,76.0,50.37,0.28
65.0,48.0,0.18,82.0,110.05,0.28
65.0,18.0,0.25,75.0,114.94,0.28
66.0,52.0,0.15,85.0,46.94,0.27
66.0,52.0,0.17,83.0,93.6,0.27
66.0,36.0,0.23,77.0,66.78,0.27
67.0,48.0,0.16,84.0,47.48,0.26
67.0,60.0,0.1,90.0,43.91,0.26
67.0,42.0,0.2,80.0,95.16,0.26
67.0,30.0,0.24,76.0,76.29,0.26
67.0,58.0,0.16,84.0,63.03,0.26
67.0,44.0,0.22,78.0,79.51,0.26
68.0,38.0,0.2,80.0,64.13,0.28
668.0,52.0,0.17,83.0,30.46,0.28
68.0,28.0,0.31,69.0,61.35,0.28
69.0,30.0,0.2,80.0,59.33,0.29
69.0,36.0,0.22,78.0,107.43,0.29
69.0,44.0,0.2,80.0,59.42,0.29
69.0,50.0,0.2,80.0,86.76,0.29
69.0,42.0,0.21,79.0,89.55,0.3
69.0,50.0,0.2,80.0,66.24,0.29
70.0,30.0,0.25,75.0,81.46,0.29
70.0,58.0,0.17,83.0,61.31,0.29
70.0,56.0,0.21,79.0,172.75,0.29
70.0,24.0,0.22,78.0,111.37,0.29
70.0,48.0,0.18,82.0,137.29,0.29
70.0,30.0,0.25,75.0,97.04,0.29
71.0,38.0,0.24,76.0,103.94,0.28
71.0,20.0,0.31,69.0,92.19,0.28
71.0,64.0,0.13,87.0,105.92,0.28
71.0,42.0,0.18,82.0,113.68,0.28
71.0,54.0,0.17,83.0,89.42,0.28
72.0,50.0,0.16,84.0,82.13,0.26
772.0,42.0,0.15,85.0,91.3,0.26
72.0,62.0,0.17,83.0,86.55,0.27
73.0,50.0,0.21,79.0,114.17,0.29
73.0,14.0,0.28,72.0,78.91,0.29
73.0,42.0,0.21,79.0,119.76,0.29
73.0,48.0,0.23,77.0,81.81,0.29
73.0,42.0,0.24,76.0,78.11,0.29
73.0,12.0,0.26,74.0,116.44,0.29
73.0,26.0,0.25,75.0,101.06,0.29
74.0,48.0,0.19,81.0,69.72,0.28
74.0,34.0,0.23,77.0,109.47,0.28
74.0,32.0,0.27,73.0,121.42,0.28
74.0,40.0,0.22,78.0,107.69,0.28
74.0,68.0,0.14,86.0,89.31,0.28
75.0,52.0,0.18,82.0,74.69,0.27
75.0,50.0,0.18,82.0,41.82,0.27
76.0,34.0,0.25,75.0,70.57,0.3
76.0,36.0,0.23,77.0,39.85,0.3
76.0,46.0,0.24,76.0,88.05,0.3
76.0,74.0,0.13,87.0,57.14,0.3
