INFO:root:[Init] Env: karmada_gym | Version 0.0.1 |
INFO:root:[Init] Action Space: Discrete(6)
INFO:root:[Init] Observation Space: Box(0.0, 1.0, (5, 8), float32)
INFO:root:[Init] Resources:
INFO:root:[Init] CPU Capacity: [3 2 3 3]
INFO:root:[Init] CPU allocated: [0.17518324 0.05877679 0.18207755 0.1784477 ]
INFO:root:[Init] CPU free: [2.82481676 1.94122321 2.81792245 2.8215523 ]
INFO:root:[Init] MEM Capacity: [3 3 4 3]
INFO:root:[Init] MEM allocated: [0.06220601 0.09601399 0.06574635 0.14322802]
INFO:root:[Init] MEM free: [2.93779399 2.90398601 3.93425365 2.85677198]
INFO:root:[Step 1] | Action: All-cluster-INFO:root:[Take Action] Block theINFO:root:[Step 2] | Action: Divide | Reward: 1 | Total Reward: 2
INFO:root:[Step 58] | Action: Divide | Reward: 1 | Total Reward: -6
INFO:root:[Step 59] | Action: Divide | Reward: 1 | Total Reward: -5
INFO:root:[Take Action] Block Divide strategy since only one replica... 
INFO:root:[Step 60] | Action: Divide | Reward: -1 | Total Reward: -6
INFO:root:[Step 61] | Action: Divide | Reward: 1 | Total Reward: -5
INFO:root:[Step 62] | Action: Divide | Reward: 1 | Total Reward: -4
INFO:root:[Step 63] | Action: Divide | Reward: 1 | Total Reward: -3
INFO:root:[Step 64] | Action: All-cluster-4 | Reward: 1 | Total Reward: -2
INFO:root:[Step 65] | Action: Reject | Reward: -1 | Total Reward: -3
INFO:root:[Step 66] | Action: All-cluster-1 | Reward: -1 | Total Reward: -4
INFO:root:[Step 67] | Action: Divide | Reward: 1 | Total Reward: -3
INFO:root:[Step 68] | Action: All-cluster-4 | Reward: 1 | Total Reward: -2
INFO:root:[Step 69] | Action: Divide | Reward: 1 | Total Reward: -1
INFO:root:[Step 70] | Action: All-cluster-1 | Reward: 1 | Total Reward: 0
INFO:root:[Step 71] | Action: Reject | Reward: -1 | Total Reward: -1
INFO:root:[Step 72] | Action: All-cluster-2 | Reward: -1 | Total Reward: -2
INFO:root:[Step 73] | Action: All-cluster-2 | Reward: -1 | Total Reward: -3
INFO:root:[Step 74] | Action: Reject | Reward: -1 | Total Reward: -4
INFO:root:[Step 75] | Action: All-cluster-2 | Reward: -1 | Total Reward: -5
INFO:root:[Step 76] | Action: All-cluster-1 | Reward: -1 | Total Reward: -6
INFO:root:[Step 77] | Action: All-cluster-3 | Reward: -1 | Total Reward: -7
INFO:root:[Step 78] | Action: All-cluster-1 | Reward: -1 | Total Reward: -8
INFO:root:[Step 79] | Action: Divide | Reward: 1 | Total Reward: -7
INFO:root:[Step 80] | Action: All-cluster-1 | Reward: 1 | Total Reward: -6
INFO:root:[Step 81] | Action: All-cluster-4 | Reward: 1 | Total Reward: -5
INFO:root:[Step 82] | Action: All-cluster-4 | Reward: 1 | Total Reward: -4
INFO:root:[Step 83] | Action: Reject | Reward: -1 | Total Reward: -5
INFO:root:[Step 84] | Action: All-cluster-3 | Reward: -1 | Total Reward: -6
INFO:root:[Step 85] | Action: Divide | Reward: 1 | Total Reward: -5
INFO:root:[Step 86] | Action: All-cluster-3 | Reward: 1 | Total Reward: -4
INFO:root:[Step 87] | Action: All-cluster-2 | Reward: 1 | Total Reward: -3
INFO:root:[Step 88] | Action: All-cluster-4 | Reward: 1 | Total Reward: -2
INFO:root:[Step 89] | Action: All-cluster-4 | Reward: 1 | Total Reward: -1
INFO:root:[Step 90] | Action: All-cluster-3 | Reward: 1 | Total Reward: 0
INFO:root:[Step 91] | Action: Divide | Reward: 1 | Total Reward: 1
INFO:root:[Step 92] | Action: All-cluster-3 | Reward: 1 | Total Reward: 2
INFO:root:[Step 93] | Action: All-cluster-2 | Reward: 1 | Total Reward: 3
INFO:root:[Step 94] | Action: All-cluster-4 | Reward: 1 | Total Reward: 4
INFO:root:[Step 95] | Action: All-cluster-2 | Reward: 1 | Total Reward: 5
INFO:root:[Step 96] | Action: All-cluster-1 | Reward: 1 | Total Reward: 6
INFO:root:[Step 97] | Action: All-cluster-1 | Reward: 1 | Total Reward: 7
INFO:root:[Step 98] | Action: All-cluster-2 | Reward: 1 | Total Reward: 8
INFO:root:[Step 99] | Action: All-cluster-4 | Reward: 1 | Total Reward: 9
INFO:root:[Step 100] | Action: Reject | Reward: -1 | Total Reward: 8
INFO:root:[Step] Episode finished, saving results to csv...
INFO:root:[Check]: Cluster 0 is full...
INFO:root:[Take Action] Block the divide strategy since cluster will be full!
INFO:root:[Step 1] | Action: Divide | Reward: -1 | Total Reward: -1
INFO:root:[Step 2] | Action: All-cluster-4 | Reward: -1 | Total Reward: -2
INFO:root:[Step 3] | Action: All-cluster-3 | Reward: -1 | Total Reward: -3
INFO:root:[Step 4] | Action: All-cluster-4 | Reward: -1 | Total Reward: -4
INFO:root:[Step 5] | Action: All-cluster-3 | Reward: -1 | Total Reward: -5
INFO:root:[Step 6] | Action: All-cluster-4 | Reward: -1 | Total Reward: -6
INFO:root:[Check]: Cluster 0 is full...
