episode,reward,execution_time
192,86.0,0.08
193,48.0,0.08
193,20.0,0.08
193,80.0,0.08
194,54.0,0.08

194,76.0,0.08
195,78.0,0.08
195,6.0,0.08
196,72.0,0.07
196,40.0,0.07
197,72.0,0.07
197,80.0,0.07
197,72.0,0.07
198,74.0,0.08
198,40.0,0.08
199,56.0,0.08
199,80.0,0.08
199,74.0,0.08
199,42.0,0.08
200,36.0,0.08
200,64.0,0.08
200,76.0,0.08
200,8.0,0.08
201,4.0,0.08

201,82.0,0.08
202,78.0,0.07
202,54.0,0.07
203,56.0,0.08
203,68.0,0.08
203,74.0,0.08
204,62.0,0.08
204,52.0,0.08
205,72.0,0.08
205,86.0,0.08
205,72.0,0.08
206,74.0,0.07
207,32.0,0.08
207,82.0,0.08
207,58.0,0.08
207,66.0,0.08
208,72.0,0.08
208,62.0,0.08
208,76.0,0.08
209,50.0,0.08
209,64.0,0.08
209,80.0,0.08
210,82.0,0.08
211,76.0,0.07
211,30.0,0.07
211,86.0,0.07
212,64.0,0.08
212,78.0,0.08
212,74.0,0.08
213,52.0,0.08
214,64.0,0.09
214,28.0,0.09
215,74.0,0.08
215,38.0,0.08
216,82.0,0.08
216,86.0,0.08
216,80.0,0.08
217,84.0,0.08
217,66.0,0.08
218,60.0,0.08
218,76.0,0.08
219,78.0,0.08
219,76.0,0.08
220,48.0,0.08
220,70.0,0.08
220,66.0,0.08
221,52.0,0.07
221,32.0,0.07
221,76.0,0.07
222,82.0,0.08
222,86.0,0.08
222,72.0,0.08
223,28.0,0.08
223,78.0,0.08
223,30.0,0.08
224,70.0,0.08
224,82.0,0.08
225,78.0,0.08
225,16.0,0.08
225,72.0,0.08
226,74.0,0.07
226,82.0,0.07
226,72.0,0.07
227,70.0,0.08
227,42.0,0.08
228,62.0,0.08
228,66.0,0.08
228,86.0,0.08
228,80.0,0.08
229,72.0,0.08
229,86.0,0.08
229,56.0,0.08
229,76.0,0.08
230,68.0,0.08
230,66.0,0.08
230,72.0,0.08
231,80.0,0.08
231,54.0,0.08
231,80.0,0.08
232,96.0,0.08
232,18.0,0.08
232,46.0,0.08
232,82.0,0.08
233,78.0,0.08
234,60.0,0.07
235,76.0,0.07
235,72.0,0.07
236,74.0,0.07
236,38.0,0.07
236,6.0,0.07
237,86.0,0.07
237,84.0,0.07
238,72.0,0.07
238,74.0,0.07
239,80.0,0.07
240,24.0,0.07
241,66.0,0.07
241,68.0,0.07
241,84.0,0.07
242,80.0,0.08
242,88.0,0.08
242,16.0,0.08
242,80.0,0.08
243,56.0,0.08
243,82.0,0.08
243,52.0,0.08
243,48.0,0.08
244,80.0,0.08
244,72.0,0.08
244,80.0,0.08
245,86.0,0.09
245,72.0,0.09
245,82.0,0.09
246,82.0,0.08
246,76.0,0.08
246,44.0,0.08
246,84.0,0.08
247,44.0,0.07
247,78.0,0.07
247,40.0,0.07
248,80.0,0.08
248,84.0,0.08
248,84.0,0.08
249,78.0,0.08
249,76.0,0.08
249,78.0,0.08
250,74.0,0.09
250,66.0,0.09
