episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
55,84.0,0.05,95.0,53.89,0.37
55,40.0,0.14,86.0,91.32,0.37
55,68.0,0.09,91.0,56.37,0.37
56,36.0,0.16,84.0,109.98,0.29
6,60.0,0.07,93.0,96.24,0.29
56,62.0,0.06,94.0,92.4,0.29
56,88.0,0.02,98.0,38.07,0.29
56,72.0,0.08,92.0,57.34,0.29
56,70.0,0.11,89.0,47.3,0.29
57,84.0,0.05,95.0,43.91,0.3
7,86.0,0.05,95.0,39.35,0.3
57,74.0,0.06,94.0,64.87,0.3
58,80.0,0.1,90.0,22.6,0.3

58,78.0,0.06,94.0,58.26,0.3
58,48.0,0.06,94.0,93.78,0.3
58,58.0,0.11,89.0,57.82,0.3
58,68.0,0.09,91.0,53.61,0.3
58,50.0,0.13,87.0,76.01,0.3
59,66.0,0.04,96.0,77.32,0.28
59,68.0,0.11,89.0,65.95,0.28
59,56.0,0.1,90.0,93.53,0.28
60,48.0,0.1,90.0,89.02,0.28

60,70.0,0.08,92.0,57.42,0.28
60,78.0,0.07,93.0,50.13,0.28
60,76.0,0.07,93.0,70.97,0.28
60,58.0,0.12,88.0,82.15,0.28
61,52.0,0.09,91.0,98.27,0.31
61,74.0,0.04,96.0,56.48,0.31
61,72.0,0.05,95.0,63.73,0.31
61,68.0,0.1,90.0,57.51,0.31
61,70.0,0.12,88.0,40.77,0.31
61,58.0,0.07,93.0,69.82,0.31
62,76.0,0.05,95.0,61.56,10.05
62,76.0,0.03,97.0,63.19,10.05
62,58.0,0.07,93.0,93.46,10.05
62,66.0,0.07,93.0,42.42,10.05
62,74.0,0.06,94.0,56.07,10.05
62,82.0,0.05,95.0,58.19,10.05
63,88.0,0.05,95.0,20.86,0.31
63,58.0,0.06,94.0,87.43,0.31
63,82.0,0.03,97.0,37.55,0.31
63,94.0,0.02,98.0,40.9,0.31

64,58.0,0.06,94.0,87.54,0.29
64,82.0,0.07,93.0,45.02,0.29
64,72.0,0.05,95.0,55.24,0.29
64,76.0,0.04,96.0,68.08,0.29
65,82.0,0.02,98.0,52.91,0.31
65,80.0,0.04,96.0,46.76,0.31
65,54.0,0.07,93.0,85.65,0.31
65,46.0,0.03,97.0,114.39,0.31
66,84.0,0.05,95.0,41.54,0.3
66,82.0,0.04,96.0,38.8,0.3
66,72.0,0.06,94.0,62.28,0.3
66,80.0,0.03,97.0,43.76,0.3
66,86.0,0.06,94.0,45.08,0.3
66,30.0,0.13,87.0,127.69,0.3
66,66.0,0.08,92.0,62.58,0.3
67,72.0,0.03,97.0,83.7,0.29


67,98.0,0.0,100.0,43.67,0.29
67,82.0,0.05,95.0,54.83,0.29
67,70.0,0.05,95.0,72.18,0.29
68,74.0,0.04,96.0,48.36,0.3
68,72.0,0.03,97.0,62.38,0.3
68,74.0,0.05,95.0,52.88,0.3
68,72.0,0.05,95.0,65.43,0.31
68,88.0,0.04,96.0,50.63,0.3
68,84.0,0.04,96.0,46.12,0.3
