episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
358,68,100,60.636801,1,1,68,0.11,89,44.89,10.61,0.17
359,52,100,60.824526,1,1,52,0.19,81,57.87,3.71,0.18
360,64,100,61.053964,1,0,64,0.15,85,38.59,8.26,0.17
361,50,100,61.312547,1,3,50,0.19,81,88.01,5.26,0.21
362,64,100,61.520706,1,3,64,0.14,86,50.43,6.92,0.24
363,62,100,61.72696,-1,5,62,0.19,81,31.42,8.44,0.19
364,84,100,61.948361,1,2,84,0.04,96,52.19,8.11,0.19
365,32,100,62.160694,1,4,32,0.24,76,95.61,3.63,0.21
366,34,100,62.393303,1,4,34,0.18,82,103.1,3.54,0.2
367,50,100,62.60671,1,0,50,0.14,86,73.38,9.86,0.22
368,38,100,62.812569,1,4,38,0.16,84,90.45,2.94,0.2
369,30,100,63.000268,-1,5,30,0.14,86,103.88,7.91,0.19
370,42,100,63.205813,1,3,42,0.1,90,101.94,5.62,0.17
371,60,100,63.40738,1,2,60,0.15,85,51.91,6.18,0.19
372,62,100,63.612154,1,2,62,0.1,90,66.89,3.03,0.18
373,62,100,63.803273,1,3,62,0.11,89,77.16,7.73,0.19
374,58,100,64.002023,1,0,58,0.13,87,78.04,5.4,0.18
375,56,100,64.231581,-1,5,56,0.17,83,66.92,5.73,0.18
376,54,100,64.444378,1,0,54,0.12,88,73.27,13.27,0.21
377,70,100,64.653332,1,2,70,0.13,87,39.18,8.28,0.19
378,62,100,64.865031,1,0,62,0.11,89,82.94,5.23,0.19
379,70,100,65.088314,1,1,70,0.09,91,80.77,9.49,0.2
380,58,100,65.284419,1,1,58,0.15,85,69.39,6.73,0.21
381,72,100,65.524071,1,1,72,0.11,89,44.24,8.55,0.18
382,32,100,65.716103,1,2,32,0.18,82,109.53,5.37,0.22
383,58,100,65.933914,-1,5,58,0.15,85,66.79,8.76,0.18
384,54,100,66.180284,1,0,54,0.2,80,52.36,4.2,0.2
385,66,100,66.370198,1,4,66,0.15,85,34.85,5.77,0.23
386,64,100,66.571894,1,0,64,0.04,96,76.49,4.95,0.18
387,60,100,66.772819,1,3,60,0.11,89,50.71,4.9,0.19
388,46,100,66.969012,-1,5,46,0.18,82,61.25,8.47,0.19
389,60,100,67.198698,1,0,60,0.13,87,82.35,12.51,0.18
390,68,100,67.411422,1,3,68,0.16,84,18.24,3.02,0.21
391,52,100,67.615085,1,1,52,0.2,80,60.81,7.37,0.2
392,48,100,67.81851,1,1,48,0.12,88,82.26,6.54,0.19
393,52,100,68.027306,1,2,52,0.09,91,89.13,8.03,0.18
