49,68.0,0.16
49,74.0,0.16
49,74.0,0.16
50,78.0,0.15
50,82.0,0.15
51,82.0,0.15
51,84.0,0.15
51,84.0,0.15
51,84.0,0.15
52,78.0,0.17
52,76.0,0.17
52,80.0,0.17
53,74.0,0.16
53,90.0,0.16
53,70.0,0.16
53,76.0,0.16
54,76.0,0.17
54,78.0,0.17
55,50.0,0.16
55,50.0,0.16
56,78.0,0.15
56,82.0,0.15
57,88.0,0.17
57,88.0,0.17
57,90.0,0.17
58,68.0,0.16
58,66.0,0.16
58,66.0,0.16
59,70.0,0.18
59,74.0,0.18
60,70.0,0.16
60,52.0,0.16
60,56.0,0.16
61,94.0,0.17
61,94.0,0.17
61,98.0,0.17
61,94.0,0.17
62,80.0,0.15
62,82.0,0.15
63,38.0,0.17
63,48.0,0.17
63,38.0,0.17
64,96.0,0.15
64,94.0,0.15
64,94.0,0.15
65,86.0,0.15
65,84.0,0.15
65,84.0,0.15
66,82.0,0.14
66,74.0,0.14
66,86.0,0.14
67,82.0,0.14
67,80.0,0.14
67,86.0,0.14
67,84.0,0.14
68,68.0,0.15
68,72.0,0.15
68,70.0,0.15
69,86.0,0.15
69,92.0,0.15
69,88.0,0.15
70,96.0,0.15
70,98.0,0.15

70,96.0,0.15
71,82.0,0.15
71,80.0,0.15
71,80.0,0.15
71,84.0,0.15
72,64.0,0.15
72,62.0,0.15
72,66.0,0.15
72,68.0,0.15
73,88.0,0.15
73,88.0,0.15
73,84.0,0.15
74,94.0,0.17
74,96.0,0.17
75,88.0,0.17
75,96.0,0.17
75,88.0,0.17
76,92.0,0.16
76,86.0,0.16
76,90.0,0.16
77,76.0,0.18
77,76.0,0.18
78,100.0,0.15
8,100.0,0.15
79,72.0,0.15
79,72.0,0.15
80,88.0,0.15
80,88.0,0.15
80,94.0,0.15
80,86.0,0.15
81,88.0,0.14
81,86.0,0.14
81,86.0,0.14
82,76.0,0.15
82,78.0,0.15
82,82.0,0.15
83,96.0,0.15
83,96.0,0.15
83,98.0,0.15
84,92.0,0.15
84,92.0,0.15
84,94.0,0.15
85,96.0,0.14
85,96.0,0.14
85,96.0,0.14
85,96.0,0.14
86,82.0,0.15
86,80.0,0.15
87,96.0,0.18
87,84.0,0.18
87,90.0,0.18
88,66.0,0.18
88,68.0,0.18
88,70.0,0.18
89,62.0,0.16
89,58.0,0.16
89,58.0,0.16
90,98.0,0.14
90,96.0,0.14
90,96.0,0.14
91,92.0,0.15
91,94.0,0.15
92,92.0,0.15
92,90.0,0.15
92,92.0,0.15
92,84.0,0.15
92,96.0,0.15
93,82.0,0.14
93,78.0,0.14
93,82.0,0.14
94,94.0,0.14
94,90.0,0.14
95,92.0,0.14
95,92.0,0.14
95,86.0,0.14
96,92.0,0.15
96,92.0,0.15
97,100.0,0.14
97,100.0,0.14
97,100.0,0.14
97,100.0,0.14
97,100.0,0.14
98,94.0,0.14
98,94.0,0.14
98,94.0,0.14
99,100.0,0.15
99,100.0,0.15
100,92.0,0.14
