episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
67.0,26.0,0.36,64.0,28.1,0.23
7.0,32.0,0.34,66.0,14.58,0.23
67.0,74.0,0.1,90.0,25.72,0.23
68.0,62.0,0.17,83.0,27.07,0.22
68.0,72.0,0.14,86.0,27.67,0.22
68.0,28.0,0.36,64.0,18.84,0.22
69.0,92.0,0.04,96.0,15.56,0.2
9.0,96.0,0.01,99.0,19.55,0.2
69.0,48.0,0.25,75.0,16.65,0.2
70.0,74.0,0.12,88.0,22.05,0.21
70.0,30.0,0.34,66.0,39.58,0.21
70.0,92.0,0.02,98.0,24.07,0.21
71.0,58.0,0.18,82.0,30.38,0.22
71.0,78.0,0.01,99.0,46.49,0.22
72.0,94.0,0.01,99.0,20.04,0.22
73.0,54.0,0.17,83.0,35.68,0.22
73.0,58.0,0.16,84.0,43.14,0.22
73.0,44.0,0.23,77.0,37.72,0.22
74.0,20.0,0.38,62.0,22.24,0.21
74.0,54.0,0.2,80.0,22.1,0.21
74.0,36.0,0.32,68.0,9.14,0.21
75.0,26.0,0.34,66.0,45.58,0.21
75.0,54.0,0.2,80.0,18.17,0.21
75.0,94.0,0.01,99.0,16.27,0.21
76.0,36.0,0.28,72.0,21.08,0.22
76.0,88.0,0.04,96.0,22.74,0.22
76.0,92.0,0.02,98.0,15.66,0.22
76.0,42.0,0.27,73.0,19.25,0.22
76.0,70.0,0.14,86.0,7.06,0.22
77.0,32.0,0.3,70.0,43.04,0.21
77.0,92.0,0.04,96.0,14.84,0.22
77.0,92.0,0.02,98.0,29.47,0.21
78.0,98.0,0.01,99.0,8.48,0.21
78.0,90.0,0.03,97.0,21.98,0.2178
78.0,92.0,0.02,98.0,26.48,0.21
79.0,58.0,0.1,90.0,57.37,0.2
79.0,76.0,0.09,91.0,36.04,0.2
79.0,98.0,0.01,99.0,15.72,0.2
79.0,86.0,0.04,96.0,24.47,0.2
80.0,60.0,0.2,80.0,26.29,0.23
80.0,66.0,0.03,97.0,55.43,0.23
81.0,66.0,0.03,97.0,59.6,0.22
81.0,78.0,0.1,90.0,12.72,0.22
82.0,96.0,0.0,100.0,21.7,0.22
82.0,72.0,0.14,86.0,8.43,0.22
82.0,88.0,0.03,97.0,17.2,0.22
82.0,54.0,0.2,80.0,36.57,0.22
83.0,62.0,0.19,81.0,22.8,0.21
3.0,92.0,0.02,98.0,14.94,0.21
83.0,92.0,0.01,99.0,24.99,0.2
84.0,90.0,0.02,98.0,33.39,0.21
84.0,74.0,0.0,100.0,44.48,0.21
84.0,90.0,0.01,99.0,25.35,0.21
84.0,92.0,0.03,97.0,18.83,0.21
85.0,80.0,0.04,96.0,32.22,0.21
85.0,68.0,0.13,87.0,28.36,0.21
85.0,82.0,0.04,96.0,33.44,0.21
86.0,70.0,0.15,85.0,28.18,0.22
86.0,92.0,0.0,100.0,28.82,0.22
87.0,92.0,0.01,99.0,21.29,0.22
87.0,74.0,0.12,88.0,13.17,0.22
88.0,92.0,0.03,97.0,9.68,0.21
88.0,46.0,0.27,73.0,6.6,0.21
89.0,84.0,0.02,98.0,28.74,0.22
