episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
166,1179.0,0.1,90.0,40.99,2.79,0.12
167,1144.0,0.17,83.0,77.54,2.01,0.11
168,722.0,0.0,100.0,70.0,8.78,0.13
169,590.0,0.0,100.0,32.49,10.1,0.12
170,719.0,0.16,84.0,37.32,7.25,0.12
171,1130.0,0.05,95.0,47.29,4.05,0.12
172,1035.0,0.01,99.0,49.85,5.54,0.12
173,1146.0,0.0,100.0,66.89,4.54,0.12
174,910.0,0.0,100.0,32.02,6.9,0.12
175,1024.0,0.0,100.0,70.6,5.76,0.11
176,613.0,0.04,96.0,48.7,9.57,0.12
177,1199.0,0.0,100.0,33.83,4.01,0.12
178,1158.0,0.0,100.0,54.38,4.42,0.12
179,861.0,0.01,99.0,30.87,7.29,0.12
180,1226.0,0.02,98.0,24.99,3.47,0.13
181,878.0,0.13,87.0,83.06,5.76,0.12
182,593.0,0.01,99.0,37.07,10.0,0.12
183,1115.0,0.12,88.0,85.47,3.19,0.12
184,853.0,0.26,74.0,89.79,4.12,0.13
185,820.0,0.0,100.0,25.59,7.8,0.18
186,1164.0,0.0,100.0,39.44,4.36,0.12
187,1170.0,0.0,100.0,46.59,4.3,0.12
188,822.0,0.0,100.0,30.42,7.78,0.12
189,1350.0,0.02,98.0,21.52,2.2,0.11
190,998.0,0.31,69.0,31.45,1.09,0.11
191,1210.0,0.0,100.0,41.21,3.9,0.12
192,312.0,0.0,100.0,81.88,12.88,0.12
193,974.0,0.0,100.0,36.69,6.26,0.12
194,854.0,0.07,93.0,43.37,6.74,0.12
195,1159.0,0.04,96.0,31.14,3.89,0.12
196,1132.0,0.0,100.0,36.72,4.68,0.12
197,850.0,0.35,65.0,59.82,2.38,0.11
198,327.0,0.0,100.0,49.73,12.73,0.12
199,1142.0,0.12,88.0,34.3,2.89,0.12
200,649.0,0.01,99.0,63.44,9.43,0.12
201,1316.0,0.05,95.0,43.61,2.09,0.13
202,1217.0,0.05,95.0,50.1,3.14,0.13
203,1055.0,0.25,75.0,58.8,1.6,0.11
204,1201.0,0.01,99.0,47.82,3.86,0.12
205,1167.0,0.01,99.0,44.67,4.2,0.12
206,1046.0,0.25,75.0,56.01,1.72,0.11
207,984.0,0.32,68.0,39.4,1.06,0.11
208,503.0,0.01,99.0,29.05,10.91,0.12
209,780.0,0.0,100.0,58.15,8.2,0.12
210,815.0,0.06,94.0,49.94,7.27,0.11
211,756.0,0.0,100.0,74.14,8.44,0.11
212,1314.0,0.02,98.0,39.65,2.57,0.12
213,1349.0,0.01,99.0,32.84,2.36,0.12
214,109.0,0.0,100.0,38.69,14.91,0.12
215,1131.0,0.09,91.0,40.0,3.47,0.11
216,1124.0,0.0,100.0,50.76,4.76,0.12
217,1275.0,0.05,95.0,55.09,2.53,0.11
218,1355.0,0.03,97.0,31.95,2.0,0.12
219,893.0,0.37,63.0,61.45,1.24,0.11
220,1020.0,0.0,100.0,25.35,5.8,0.12
221,832.0,0.0,100.0,15.56,7.68,0.12
222,103.0,0.02,98.0,44.3,14.93,0.12
223,800.0,0.0,100.0,60.45,8.0,0.13
224,1205.0,0.02,98.0,51.23,3.68,0.12
225,360.0,0.0,100.0,45.08,12.4,0.12
226,1175.0,0.17,83.0,72.67,1.64,0.13
227,876.0,0.0,100.0,32.52,7.24,0.12
228,1154.0,0.19,81.0,49.34,1.52,0.12
229,1043.0,0.01,99.0,32.17,5.45,0.13
230,1264.0,0.02,98.0,42.09,3.08,0.11
231,1004.0,0.0,100.0,44.11,5.96,0.12
232,1165.0,0.03,97.0,48.47,3.96,0.12
233,631.0,0.2,80.0,87.31,7.86,0.11
234,600.0,0.0,100.0,27.15,10.0,0.11
235,815.0,0.27,73.0,47.78,4.47,0.11
236,902.0,0.26,74.0,103.76,3.46,0.11
237,1220.0,0.0,100.0,38.52,3.8,0.13
238,1235.0,0.09,91.0,33.77,2.33,0.12
239,441.67,0.02,98.0,50.91,11.47,0.12
240,993.0,0.01,99.0,49.46,5.96,0.11
241,1289.0,0.01,99.0,69.61,2.97,0.12
242,1029.0,0.18,82.0,55.78,3.23,0.12
243,824.0,0.0,100.0,46.33,7.76,0.13
244,880.0,0.11,89.0,33.16,5.99,0.11
245,1326.0,0.0,100.0,37.61,2.74,0.12
246,1078.0,0.26,74.0,8.82,1.08,0.11
247,948.0,0.0,100.0,69.1,6.52,0.11
248,395.0,0.1,90.0,36.46,11.5,0.12
249,1272.0,0.0,100.0,47.23,3.28,0.12
250,1061.0,0.25,75.0,86.29,1.52,0.11
251,1326.0,0.02,98.0,14.19,2.45,0.13
252,912.0,0.0,100.0,36.4,6.88,0.13
253,827.0,0.39,61.0,34.77,1.8,0.11
254,1229.0,0.0,100.0,65.34,3.71,0.12
255,1239.0,0.08,92.0,53.96,2.45,0.12
256,352.0,0.0,100.0,75.79,12.48,0.12
257,1018.0,0.02,98.0,58.99,5.59,0.12
258,1253.0,0.01,99.0,40.45,3.33,0.12
259,1059.0,0.18,82.0,33.27,2.87,0.11
260,1079.0,0.22,78.0,67.89,1.88,0.11
261,1200.0,0.0,100.0,66.41,4.0,0.11
262,536.0,0.0,100.0,28.62,10.64,0.12
263,1200.0,0.0,100.0,41.93,4.0,0.15
264,885.0,0.23,77.0,42.27,4.21,0.12
265,789.0,0.02,98.0,78.8,7.93,0.13
266,1022.0,0.23,77.0,39.84,2.43,0.1
267,1215.0,0.03,97.0,71.37,3.44,0.11
268,879.0,0.25,75.0,28.98,3.95,0.12
269,524.0,0.0,100.0,57.0,10.76,0.11
270,1161.0,0.07,93.0,32.56,3.44,0.11
271,742.0,0.0,100.0,62.17,8.58,0.11
272,867.0,0.03,97.0,34.95,7.03,0.12
273,852.0,0.03,97.0,66.58,7.19,0.11
274,483.0,0.01,99.0,37.06,11.11,0.12
275,949.0,0.03,97.0,73.4,6.19,0.12
276,914.0,0.0,100.0,49.02,6.86,0.12
277,884.0,0.0,100.0,50.91,7.16,0.18
278,1341.0,0.01,99.0,45.15,2.44,0.18
279,412.0,0.0,100.0,58.45,11.88,0.12
280,1094.0,0.09,91.0,46.73,3.88,0.12
281,924.0,0.0,100.0,45.39,6.76,0.12
282,1126.0,0.02,98.0,41.33,4.49,0.14
283,1150.0,0.0,100.0,34.34,4.5,0.12
284,1131.0,0.07,93.0,54.66,3.76,0.11
285,1140.0,0.0,100.0,47.74,4.6,0.13
286,642.0,0.03,97.0,40.02,9.35,0.12
287,1187.0,0.01,99.0,60.95,4.0,0.11
288,1262.0,0.0,100.0,24.26,3.38,0.11
289,1187.0,0.01,99.0,37.05,4.0,0.11
290,908.0,0.2,80.0,42.72,4.4,0.12
291,1107.0,0.22,78.0,48.42,1.53,0.11
292,774.0,0.0,100.0,38.31,8.26,0.12
293,1031.0,0.28,72.0,48.9,1.29,0.12
294,1004.0,0.0,100.0,37.3,5.96,0.12
295,1317.0,0.06,94.0,46.12,1.93,0.14
296,1180.0,0.02,98.0,36.21,3.94,0.12
297,1204.0,0.0,100.0,43.49,3.96,0.12
298,1162.0,0.0,100.0,29.81,4.38,0.12
299,1331.0,0.01,99.0,28.8,2.55,0.12
300,824.0,0.01,99.0,24.11,7.67,0.12
301,807.0,0.0,100.0,20.76,7.93,0.12
302,961.0,0.33,67.0,34.62,1.16,0.11
303,787.0,0.03,97.0,15.91,7.86,0.12
304,842.0,0.0,100.0,45.83,7.58,0.12
305,36.0,0.0,100.0,34.66,15.64,0.12
306,859.0,0.02,98.0,34.62,7.21,0.12
307,824.0,0.0,100.0,18.67,7.76,0.14
308,846.0,0.36,64.0,51.52,2.22,0.11
309,1339.0,0.03,97.0,37.14,2.16,0.11
310,685.0,0.01,99.0,92.34,9.07,0.12
311,792.0,0.0,100.0,23.62,8.08,0.12
312,854.0,0.0,100.0,36.25,7.46,0.12
313,1198.0,0.0,100.0,33.27,4.02,0.12
314,873.0,0.37,63.0,48.81,1.56,0.11
315,814.0,0.0,100.0,14.96,7.86,0.12
316,1027.0,0.29,71.0,56.06,1.13,0.11
