episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
129,746,100,16.097742,-1,5,746,0.16,84,72.83,6.93,0.16
130,985.1,100,16.287455,-1,5,985.1,0.22,78,91.13,3.09,0.16
131,1003.24,100,16.477464,8,1,1003.24,0.17,83,76.54,3.71,0.17
132,500.84,100,16.65259,-1,5,500.84,0.24,76,53.57,9.09,0.18
133,608.75,100,16.843127,2,4,608.75,0.21,79,89.97,8.03,0.16
134,737.45,100,17.009776,4,4,737.45,0.22,78,51.72,6.26,0.18
135,1033.86,100,17.185125,13.5,4,1033.86,0.16,84,72.48,3.5,0.15
136,913.6,100,17.364907,14,3,913.6,0.21,79,100.85,4.17,0.16
137,789.53,100,17.557795,15,0,789.53,0.18,82,104.67,6.15,0.17
138,1129.58,100,17.743576,15,2,1129.58,0.14,86,90.7,2.7,0.18
139,685.53,100,17.926895,12,0,685.53,0.16,84,119.22,7.65,0.17
140,956.75006,100,18.104497,-1,5,956.75,0.18,82,45.45,4.11,0.17
141,605.34,100,18.28761,0,2,605.34,0.21,79,77.11,8.07,0.17
142,988.87,100,18.466263,-1,5,988.87,0.16,84,72.1,4.04,0.17
143,986,100,18.642954,14,4,986,0.26,74,77.85,2.32,0.17
144,488.12,100,18.825418,15,3,488.12,0.15,85,84.97,10.08,0.16
145,673.91003,100,19.005015,0,2,673.91,0.2,80,87.01,7.33,0.17
146,716.93,100,19.178482,14,0,716.93,0.18,82,96.23,7.04,0.17
147,730.44006,100,19.366742,12,1,730.44,0.17,83,91.88,6.99,0.16
148,774,100,19.550117,12,0,774,0.18,82,128.89,6.34,0.18
149,963.8101,100,19.735703,9.83,4,963.81,0.16,84,60.44,4.34,0.17
150,882.88995,100,19.914617,9.57,4,882.89,0.19,81,96.68,4.87,0.17
151,548,100,20.091304,0,0,548,0.16,84,48.29,9.29,0.17
152,883.59,100,20.269552,12,3,883.59,0.21,79,83.91,4.55,0.16
153,1019.73004,100,20.447136,14,2,1019.73,0.15,85,59.82,3.83,0.17
154,607.75,100,20.647116,8,2,607.75,0.08,92,64.39,9.31,0.16
155,1042.81,100,20.837914,15,3,1042.81,0.15,85,69.23,3.56,0.19
156,403,100,21.007591,0,4,403,0.17,83,70.14,10.94,0.18
157,712.15,100,21.18531,14,2,712.15,0.14,86,119.96,7.56,0.16
158,354.29,100,21.357697,8,1,354.29,0.2,80,92.05,11.32,0.16
159,678.25995,100,21.537803,12,0,678.26,0.18,82,74.4,7.51,0.16
160,956,100,21.721934,8,4,956,0.14,86,70.88,4.72,0.17
161,382,100,21.898363,12,1,382,0.22,78,104.75,10.82,0.17
162,620.42004,100,22.087859,1.14,4,620.42,0.1,90,58,9,0.16
163,214,100,22.269085,0,1,214,0.18,82,62.47,13.17,0.18
164,759,100,22.444816,14,0,759,0.18,82,33.56,6.52,0.17
165,349.33002,100,22.615622,8,2,349.33,0.28,72,33.52,10.76,0.16
166,577.22003,100,22.792603,0,1,577.22,0.17,83,113.24,8.84,0.16
167,927.63995,100,22.979213,15,1,927.64,0.13,87,63.71,5.19,0.16
168,535.86,100,23.157296,0,0,535.86,0.14,86,55.23,9.61,0.17
169,847.74,100,23.338884,8,4,847.74,0.15,85,106.98,5.85,0.16
170,1081.03,100,23.534079,15,3,1081.03,0.13,87,155.04,3.42,0.17
171,676.88,100,23.719824,12,3,676.88,0.15,85,107.5,7.86,0.18
172,923,100,23.90758,8,0,923,0.14,86,53.02,5.1,0.17
173,738.33997,100,24.082124,14,2,738.34,0.2,80,82.03,6.52,0.18
174,790.7999,100,24.261102,12,2,790.8,0.2,80,77.47,5.86,0.16
